id,class,pixel_count,pixel_pct,tiles_present,tile_pct,unknown2_neutral::inverse_frequency_px,unknown2_neutral::median_frequency_px,unknown2_neutral::effnum_px_eps_1e-07,unknown2_neutral::effnum_px_eps_1e-08,unknown2_neutral::effnum_px_eps_1e-09,unknown2_neutral::effnum_px_eps_1e-10,unknown2_neutral::effnum_tile_beta_p99,unknown2_neutral::effnum_tile_beta_p999,unknown2_neutral::effnum_tile_beta_p9999,unknown2_weighted::inverse_frequency_px,unknown2_weighted::median_frequency_px,unknown2_weighted::effnum_px_eps_1e-07,unknown2_weighted::effnum_px_eps_1e-08,unknown2_weighted::effnum_px_eps_1e-09,unknown2_weighted::effnum_px_eps_1e-10,unknown2_weighted::effnum_tile_beta_p99,unknown2_weighted::effnum_tile_beta_p999,unknown2_weighted::effnum_tile_beta_p9999
0,unknown,7119366219,36.861169,13602,70.4256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,asfalt,818756115,4.239185,5919,30.6462,0.004183,0.004183,0.266074,0.033505,0.006115,0.004356,0.925532,0.362012,0.10426,0.0,0.0,1e-06,0.0,0.0,0.0,0.091138,0.009783,0.002196
2,fliser,231902162,1.200695,3934,20.3686,0.01477,0.01477,0.266074,0.03715,0.016517,0.014939,0.925532,0.368232,0.143203,0.0,0.0,1e-06,0.0,0.0,0.0,0.091138,0.009951,0.003016
3,grus,206716845,1.070295,3936,20.379,0.016569,0.016569,0.266074,0.038348,0.018306,0.016738,0.925532,0.368218,0.143143,0.0,0.0,1e-06,0.0,0.0,0.0,0.091138,0.009951,0.003015
4,ubefestet,10667088919,55.229828,17626,91.2602,0.000321,0.000321,0.266074,0.033496,0.003419,0.000522,0.925532,0.361042,0.056224,0.0,0.0,1e-06,0.0,0.0,0.0,0.091138,0.009757,0.001184
5,green_roof,1430413,0.007406,90,0.466,2.394523,2.394523,1.99633,2.35847,2.391655,2.394275,1.554815,4.192802,5.19832,7e-06,7e-06,8e-06,7e-06,7e-06,7e-06,0.153104,0.113306,0.109491
6,drivhus,531496,0.002752,328,1.6982,6.44437,6.44437,5.140354,6.318922,6.43376,6.443413,0.961104,1.290564,1.443384,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,0.09464,0.034876,0.030402
7,betonflade,89260373,0.462154,598,3.0962,0.038373,0.038373,0.26611,0.056733,0.040034,0.038537,0.927809,0.801863,0.802366,0.0,0.0,1e-06,0.0,0.0,0.0,0.091362,0.02167,0.0169
8,brosten,120321684,0.622977,1928,9.9824,0.028467,0.028467,0.266076,0.047867,0.030156,0.028633,0.925532,0.422419,0.265608,0.0,0.0,1e-06,0.0,0.0,0.0,0.091138,0.011415,0.005594
9,unknown2,0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.999974,9.999974,9.999966,9.999973,9.999974,9.999974,9.113765,9.756784,9.810436
10,solceller,58625774,0.30354,568,2.9409,0.058424,0.058424,0.266833,0.07551,0.060038,0.058585,0.928612,0.832847,0.843491,0.0,0.0,1e-06,0.0,0.0,0.0,0.091441,0.022507,0.017766
