tile,route,fold,n_cross_fold_pairs,sum_overlap_m2,capped_overlap_m2
O2021_82_20_1_0023_00004973_10000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_10000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004973_11000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_11000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004973_12000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_12000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004973_13000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_13000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004973_14000_10000.tif,82-20,2,3,6693.0,6693.0
O2021_82_20_1_0023_00004973_14000_11000.tif,82-20,2,6,11900.0,10000.0
O2021_82_20_1_0023_00004973_15000_10000.tif,82-20,2,4,10500.0,10000.0
O2021_82_20_1_0023_00004973_15000_11000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004973_16000_10000.tif,82-20,2,4,10500.0,10000.0
O2021_82_20_1_0023_00004973_16000_11000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004973_6000_10000.tif,82-20,2,1,2726.0,2726.0
O2021_82_20_1_0023_00004973_6000_11000.tif,82-20,2,3,7774.0,7774.0
O2021_82_20_1_0023_00004973_7000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_7000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004973_8000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_8000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004973_9000_10000.tif,82-20,2,2,5800.0,5800.0
O2021_82_20_1_0023_00004973_9000_11000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_10000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_10000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_10000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_10000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_10000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_10000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_10000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_11000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_11000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_11000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_11000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_11000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_11000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_11000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_12000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_12000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_12000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_12000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_12000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_12000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_12000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_13000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_13000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_13000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_13000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_13000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_13000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_13000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_14000_10000.tif,82-20,2,9,21384.0,10000.0
O2021_82_20_1_0023_00004974_14000_11000.tif,82-20,2,10,14800.0,10000.0
O2021_82_20_1_0023_00004974_14000_5000.tif,82-20,2,3,10460.0,10000.0
O2021_82_20_1_0023_00004974_14000_6000.tif,82-20,2,6,12000.0,10000.0
O2021_82_20_1_0023_00004974_14000_7000.tif,82-20,2,6,12000.0,10000.0
O2021_82_20_1_0023_00004974_14000_8000.tif,82-20,2,6,12000.0,10000.0
O2021_82_20_1_0023_00004974_14000_9000.tif,82-20,2,8,12700.0,10000.0
O2021_82_20_1_0023_00004974_15000_10000.tif,82-20,2,12,29700.0,10000.0
O2021_82_20_1_0023_00004974_15000_11000.tif,82-20,2,14,30700.0,10000.0
O2021_82_20_1_0023_00004974_15000_5000.tif,82-20,2,4,16700.0,10000.0
O2021_82_20_1_0023_00004974_15000_6000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004974_15000_7000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004974_15000_8000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004974_15000_9000.tif,82-20,2,10,20700.0,10000.0
O2021_82_20_1_0023_00004974_16000_10000.tif,82-20,2,12,29700.0,10000.0
O2021_82_20_1_0023_00004974_16000_11000.tif,82-20,2,14,30700.0,10000.0
O2021_82_20_1_0023_00004974_16000_5000.tif,82-20,2,4,16700.0,10000.0
O2021_82_20_1_0023_00004974_16000_6000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004974_16000_7000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004974_16000_8000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004974_16000_9000.tif,82-20,2,10,20700.0,10000.0
O2021_82_20_1_0023_00004974_6000_10000.tif,82-20,2,3,10101.0,10000.0
O2021_82_20_1_0023_00004974_6000_11000.tif,82-20,2,3,5199.0,5199.0
O2021_82_20_1_0023_00004974_6000_5000.tif,82-20,2,1,4272.0,4272.0
O2021_82_20_1_0023_00004974_6000_6000.tif,82-20,2,3,9428.0,9428.0
O2021_82_20_1_0023_00004974_6000_7000.tif,82-20,2,3,5372.0,5372.0
O2021_82_20_1_0023_00004974_6000_8000.tif,82-20,2,2,4800.0,4800.0
O2021_82_20_1_0023_00004974_6000_9000.tif,82-20,2,3,5199.0,5199.0
O2021_82_20_1_0023_00004974_7000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_7000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_7000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_7000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_7000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_7000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_7000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_8000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_8000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_8000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_8000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_8000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_8000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_8000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_9000_10000.tif,82-20,2,6,19300.0,10000.0
O2021_82_20_1_0023_00004974_9000_11000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004974_9000_5000.tif,82-20,2,2,8900.0,8900.0
O2021_82_20_1_0023_00004974_9000_6000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_9000_7000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_9000_8000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004974_9000_9000.tif,82-20,2,6,10700.0,10000.0
O2021_82_20_1_0023_00004975_10000_0.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_10000_1000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_10000_2000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_10000_3000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_10000_4000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_10000_5000.tif,82-20,2,6,16100.0,10000.0
O2021_82_20_1_0023_00004975_10000_6000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_10000_7000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_10000_8000.tif,82-20,2,4,14000.0,10000.0
O2021_82_20_1_0023_00004975_11000_0.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_11000_1000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_11000_2000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_11000_3000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_11000_4000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_11000_5000.tif,82-20,2,6,16100.0,10000.0
O2021_82_20_1_0023_00004975_11000_6000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_11000_7000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_11000_8000.tif,82-20,2,4,14000.0,10000.0
O2021_82_20_1_0023_00004975_12000_0.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_12000_1000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_12000_2000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_12000_3000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_12000_4000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_12000_5000.tif,82-20,2,6,16100.0,10000.0
O2021_82_20_1_0023_00004975_12000_6000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_12000_7000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_12000_8000.tif,82-20,2,4,14000.0,10000.0
O2021_82_20_1_0023_00004975_13000_0.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_13000_1000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_13000_2000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_13000_3000.tif,82-20,2,4,10000.0,10000.0
O2021_82_20_1_0023_00004975_13000_4000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_13000_5000.tif,82-20,2,6,16100.0,10000.0
O2021_82_20_1_0023_00004975_13000_6000.tif,82-20,2,6,13900.0,10000.0
O2021_82_20_1_0023_00004975_13000_7000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_13000_8000.tif,82-20,2,4,14000.0,10000.0
O2021_82_20_1_0023_00004975_14000_0.tif,82-20,2,6,11700.0,10000.0
O2021_82_20_1_0023_00004975_14000_1000.tif,82-20,2,6,11700.0,10000.0
O2021_82_20_1_0023_00004975_14000_2000.tif,82-20,2,6,11700.0,10000.0
O2021_82_20_1_0023_00004975_14000_3000.tif,82-20,2,6,11700.0,10000.0
O2021_82_20_1_0023_00004975_14000_4000.tif,82-20,2,8,15600.0,10000.0
O2021_82_20_1_0023_00004975_14000_5000.tif,82-20,2,9,18448.0,10000.0
O2021_82_20_1_0023_00004975_14000_6000.tif,82-20,2,10,17400.0,10000.0
O2021_82_20_1_0023_00004975_14000_7000.tif,82-20,2,12,23500.0,10000.0
O2021_82_20_1_0023_00004975_14000_8000.tif,82-20,2,6,16682.0,10000.0
O2021_82_20_1_0023_00004975_15000_0.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_15000_1000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_15000_2000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_15000_3000.tif,82-20,2,8,20000.0,10000.0
O2021_82_20_1_0023_00004975_15000_4000.tif,82-20,2,10,23900.0,10000.0
O2021_82_20_1_0023_00004975_15000_5000.tif,82-20,2,12,29700.0,10000.0
