tile,route,label_E,label_N,rgb_E,rgb_N,dE,dN,in_contaminated_set
O2021_84_40_1_0039_00062718_7000_5000.tif,84-40,720574.0,6175220.0,720575.0,6175236.0,1.0,16.0,False
O2023_84_40_1_0141_00115833_4000_1000.tif,84-40,723151.0,6214169.0,723552.0,6214696.0,401.0,527.0,False
O2021_84_40_1_0038_00060845_4000_0.tif,84-40,719453.0,6176663.0,719555.0,6176649.0,102.0,-14.0,False
O2023_84_40_1_0146_00110505_3000_1000.tif,84-40,727062.0,6174939.0,726492.0,6175339.0,-570.0,400.0,False
O2021_83_26_1_0013_00001591_6000_1000.tif,83-26,479901.0,6168062.0,480001.0,6168492.0,100.0,430.0,False
O2023_84_40_1_0143_00113917_6000_6000.tif,84-40,724981.0,6175334.0,725286.0,6175168.0,305.0,-166.0,False
O2021_83_25_1_0027_00001531_3000_5000.tif,83-25,463491.0,6144017.0,462792.0,6143617.0,-699.0,-400.0,False
O2023_82_24_1_0013_00000577_11000_12000.tif,82-24,577235.0,6222756.0,576835.0,6222746.0,-400.0,-10.0,False
O2021_82_20_1_0024_00005078_12000_2000.tif,82-20,498258.0,6220367.0,497858.0,6220667.0,-400.0,300.0,True
O2021_82_19_1_0024_00005013_0_2000.tif,82-19,456006.0,6215071.0,455406.0,6215271.0,-600.0,200.0,False
O2021_83_25_1_0023_00001887_6000_6000.tif,83-25,459959.0,6143979.0,459556.0,6143243.0,-403.0,-736.0,False
O2021_82_19_1_0023_00005474_3000_4000.tif,82-19,454665.0,6216635.0,454967.0,6216481.0,302.0,-154.0,False
O2021_82_24_1_0022_00001738_10cm_7850_2000.tif,82-24,575284.0,6230706.0,575774.0,6231030.0,490.0,324.0,False
O2021_82_24_1_0020_00004288_4000_3000.tif,82-24,574216.0,6224935.0,574206.0,6224389.0,-10.0,-546.0,False
O2023_84_40_1_0143_00113921_3000_1000.tif,84-40,725286.0,6175168.0,724981.0,6175334.0,-305.0,166.0,False
O2021_83_25_1_0024_00001857_8000_5000.tif,83-25,460128.0,6141687.0,460626.0,6141523.0,498.0,-164.0,False
O2021_82_20_1_0023_00004974_16000_5000.tif,82-20,495840.0,6220577.0,496940.0,6220877.0,1100.0,300.0,True
O2021_83_25_1_0017_00002701_5000_4000.tif,83-25,453861.0,6162154.0,454156.0,6161505.0,295.0,-649.0,False
O2021_82_20_1_0023_00004975_12000_2000.tif,82-20,496937.0,6220345.0,496537.0,6220645.0,-400.0,300.0,True
O2021_83_26_1_0014_00001457_2000_3000.tif,83-26,481087.0,6166526.0,480487.0,6166826.0,-600.0,300.0,False
O2021_82_24_1_0020_00004290_2000_2000.tif,82-24,574008.0,6225150.0,574011.0,6224986.0,3.0,-164.0,False
O2021_84_40_1_0039_00062715_0_0.tif,84-40,720674.0,6175853.0,719874.0,6176053.0,-800.0,200.0,False
O2021_83_26_1_0012_00001783_5000_0.tif,83-26,478858.0,6168878.0,479061.0,6168646.0,203.0,-232.0,False
O2021_83_25_1_0027_00001534_2000_4000.tif,83-25,463294.0,6142486.0,462694.0,6142704.0,-600.0,218.0,False
O2021_83_25_1_0017_00002703_3000_4000.tif,83-25,453777.0,6162726.0,453969.0,6162175.0,192.0,-551.0,False
