model,job,train_s,infer_s,n_tiles_classified
_smoke,convnext_upernet_rgb_ndsm_smoke,2413.0,,
convnext_upernet,convnext_upernet_10ch_fold0,49777.0,1381.7171156406403,6440
convnext_upernet,convnext_upernet_10ch_fold0_unw,49188.0,1357.1840064525604,6440
convnext_upernet,convnext_upernet_10ch_fold1,49382.0,1299.9435119628906,6440
convnext_upernet,convnext_upernet_10ch_fold1_unw,49097.0,1273.326384305954,6440
convnext_upernet,convnext_upernet_10ch_fold2,49919.0,1370.7639713287354,6440
convnext_upernet,convnext_upernet_10ch_fold2_unw,48904.0,1318.373869419098,6440
convnext_upernet,convnext_upernet_6ch_corrected_fold0,36201.0,1091.2372317314148,6440
convnext_upernet,convnext_upernet_6ch_corrected_fold1,36192.0,1060.2268538475037,6440
convnext_upernet,convnext_upernet_6ch_corrected_fold2,35857.0,1150.7468619346619,6440
convnext_upernet,convnext_upernet_6ch_fold0,30184.0,927.4933142662048,6440
convnext_upernet,convnext_upernet_6ch_fold0_unw,30106.0,889.1907210350037,6440
convnext_upernet,convnext_upernet_6ch_fold1,29737.0,934.7375159263611,6440
convnext_upernet,convnext_upernet_6ch_fold1_unw,29522.0,960.4840574264526,6440
convnext_upernet,convnext_upernet_6ch_fold2,29975.0,996.8421111106873,6440
convnext_upernet,convnext_upernet_6ch_fold2_unw,29736.0,898.3428890705109,6440
convnext_upernet,convnext_upernet_rgb_fold0,23814.0,900.4484987258911,6440
convnext_upernet,convnext_upernet_rgb_fold0_unw,23812.0,876.8769109249115,6440
convnext_upernet,convnext_upernet_rgb_fold1,23742.0,843.4872343540192,6440
convnext_upernet,convnext_upernet_rgb_fold1_unw,23841.0,804.6612339019775,6440
convnext_upernet,convnext_upernet_rgb_fold2,23786.0,842.0125713348389,6440
convnext_upernet,convnext_upernet_rgb_fold2_unw,23843.0,871.464555978775,6440
convnext_upernet,convnext_upernet_rgb_ndsm_fold0,24056.0,875.7597889900208,6440
convnext_upernet,convnext_upernet_rgb_ndsm_fold1,24005.0,927.565810918808,6440
convnext_upernet,convnext_upernet_rgb_ndsm_fold2,24006.0,929.157763004303,6440
segformer_b1,segformer_b1_10ch_fold0,49243.0,1375.6550590991974,6440
segformer_b1,segformer_b1_10ch_fold0_unw,49156.0,1353.6434915065765,6440
segformer_b1,segformer_b1_10ch_fold1,49131.0,1289.1801817417145,6440
segformer_b1,segformer_b1_10ch_fold1_unw,49345.0,1271.9866025447845,6440
segformer_b1,segformer_b1_10ch_fold2,49173.0,1339.0560443401337,6440
segformer_b1,segformer_b1_10ch_fold2_unw,49067.0,1324.2103033065796,6440
segformer_b1,segformer_b1_6ch_corrected_fold0,34635.0,,
segformer_b1,segformer_b1_6ch_corrected_fold1,34492.0,,
segformer_b1,segformer_b1_6ch_fold0,29515.0,996.6443026065826,6440
segformer_b1,segformer_b1_6ch_fold0_unw,29335.0,912.6344826221466,6440
segformer_b1,segformer_b1_6ch_fold1,29103.0,998.754777431488,6440
segformer_b1,segformer_b1_6ch_fold1_unw,28862.0,967.8918423652649,6440
segformer_b1,segformer_b1_6ch_fold2,29216.0,939.8917820453644,6440
segformer_b1,segformer_b1_6ch_fold2_unw,29023.0,913.9346609115601,6440
segformer_b1,segformer_b1_rgb_fold0,13604.0,917.6167359352112,6440
segformer_b1,segformer_b1_rgb_fold0_unw,13636.0,894.7607669830322,6440
segformer_b1,segformer_b1_rgb_fold1,13481.0,898.9779481887817,6440
segformer_b1,segformer_b1_rgb_fold1_unw,13531.0,818.8487899303436,6440
segformer_b1,segformer_b1_rgb_fold2,13506.0,849.4466989040375,6440
segformer_b1,segformer_b1_rgb_fold2_unw,13560.0,881.3726766109467,6440
swin_upernet,swin_upernet_10ch_fold0,49946.0,1354.1752467155457,6440
swin_upernet,swin_upernet_10ch_fold0_unw,49507.0,1350.7512056827545,6440
swin_upernet,swin_upernet_10ch_fold1,50162.0,1269.9189939498901,6440
swin_upernet,swin_upernet_10ch_fold1_unw,49373.0,1266.2857682704926,6440
swin_upernet,swin_upernet_10ch_fold2,50662.0,1324.8187456130981,6440
swin_upernet,swin_upernet_10ch_fold2_unw,49131.0,1323.1292932033539,6440
swin_upernet,swin_upernet_6ch_corrected_fold0,35256.0,1055.8746836185455,6440
swin_upernet,swin_upernet_6ch_corrected_fold1,35214.0,1038.5599420070648,6440
swin_upernet,swin_upernet_6ch_corrected_fold2,35096.0,1042.775545835495,6440
swin_upernet,swin_upernet_6ch_fold0,31964.0,1004.1683423519135,6440
swin_upernet,swin_upernet_6ch_fold0_unw,31983.0,977.3002443313599,6440
swin_upernet,swin_upernet_6ch_fold1,31145.0,958.6018130779266,6440
swin_upernet,swin_upernet_6ch_fold1_unw,31209.0,898.7057912349701,6440
swin_upernet,swin_upernet_6ch_fold2,31518.0,914.140198469162,6440
swin_upernet,swin_upernet_6ch_fold2_unw,31620.0,902.054117679596,6440
swin_upernet,swin_upernet_rgb_fold0,26939.0,861.5831739902496,6440
swin_upernet,swin_upernet_rgb_fold0_unw,26997.0,891.3322536945343,6440
swin_upernet,swin_upernet_rgb_fold1,26868.0,885.6936604976654,6440
swin_upernet,swin_upernet_rgb_fold1_unw,26884.0,888.9172389507294,6440
swin_upernet,swin_upernet_rgb_fold2,26904.0,840.2752516269684,6440
swin_upernet,swin_upernet_rgb_fold2_unw,26901.0,884.8247725963593,6440
unet_resnet34,unet_resnet34_10ch_fold0,49355.0,1372.7705280780792,6440
unet_resnet34,unet_resnet34_10ch_fold0_unw,49847.0,1356.9703867435455,6440
unet_resnet34,unet_resnet34_10ch_fold1,49197.0,1299.2313520908356,6440
unet_resnet34,unet_resnet34_10ch_fold1_unw,49651.0,1265.3567252159119,6440
unet_resnet34,unet_resnet34_10ch_fold2,49341.0,1347.5292003154755,6440
unet_resnet34,unet_resnet34_10ch_fold2_unw,49578.0,1325.9925479888916,6440
unet_resnet34,unet_resnet34_6ch_corrected_fold0,35845.0,1064.350976228714,6440
unet_resnet34,unet_resnet34_6ch_corrected_fold1,35593.0,1082.5081975460052,6440
unet_resnet34,unet_resnet34_6ch_corrected_fold2,35437.0,1108.3636767864227,6440
unet_resnet34,unet_resnet34_6ch_fold0,29764.0,996.2116997241974,6440
unet_resnet34,unet_resnet34_6ch_fold0_unw,29626.0,898.9010720252991,6440
unet_resnet34,unet_resnet34_6ch_fold1,29131.0,925.2677438259125,6440
unet_resnet34,unet_resnet34_6ch_fold1_unw,28907.0,957.808819770813,6440
unet_resnet34,unet_resnet34_6ch_fold2,29293.0,987.0446665287018,6440
unet_resnet34,unet_resnet34_6ch_fold2_unw,29233.0,963.1042091846466,6440
unet_resnet34,unet_resnet34_rgb_fold0,17901.0,841.3916642665863,6440
unet_resnet34,unet_resnet34_rgb_fold0_unw,17806.0,875.3313493728638,6440
unet_resnet34,unet_resnet34_rgb_fold1,17776.0,889.6360127925873,6440
unet_resnet34,unet_resnet34_rgb_fold1_unw,17737.0,815.6315565109253,6440
unet_resnet34,unet_resnet34_rgb_fold2,17808.0,835.0775563716888,6440
unet_resnet34,unet_resnet34_rgb_fold2_unw,17838.0,872.8858180046082,6440
unet_resnet34,unet_resnet34_rgb_lc25_fold0,7261.0,820.950514793396,6440
unet_resnet34,unet_resnet34_rgb_lc50_fold0,10798.0,829.7720227241516,6440
unet_resnet34,unet_resnet34_rgb_lc75_fold0,13858.0,818.2046709060669,6440
