cell,macro_iou_all,macro_iou_clean,d_macro_iou,macro_f1_all,macro_f1_clean,d_macro_f1,acc_all,acc_clean,d_acc,px_all,px_clean,n_macro_all,n_macro_clean,excluded_clean,published_macro_iou,inferred_paths,iou_all_asfalt,iou_clean_asfalt,d_asfalt,iou_all_fliser,iou_clean_fliser,d_fliser,iou_all_grus,iou_clean_grus,d_grus,iou_all_ubefestet,iou_clean_ubefestet,d_ubefestet,iou_all_green_roof,iou_clean_green_roof,d_green_roof,iou_all_drivhus,iou_clean_drivhus,d_drivhus,iou_all_betonflade,iou_clean_betonflade,d_betonflade,iou_all_brosten,iou_clean_brosten,d_brosten,iou_all_solceller,iou_clean_solceller,d_solceller
convnext_upernet_6ch_corrected,0.31104006631493875,0.2726983082982756,-0.03834175801666312,0.3974893166948475,0.3530327807864431,-0.04445653590840437,0.926695979719147,0.9264895869109631,-0.00020639280818390837,12194633781,11584110063,9,9,,0.31104006631493875,True,0.5210626862830215,0.47875983946328804,-0.04230284681973351,0.24190053752416713,0.1972226842159554,-0.044677853308211724,0.20490973106877164,0.12430053507282844,-0.0806091959959432,0.9479034855015324,0.9475453650519879,-0.000358120449544419,0.00133495942262314,0.0013351891448846085,2.297222614685429e-07,0.20770544974872177,0.14577960140679952,-0.061925848341922246,0.008391864862454908,0.006650133802846583,-0.001741731059608325,0.021516693639687407,0.021372954341284802,-0.00014373929840260508,0.6446351887834688,0.5313184721846054,-0.11331671659886344
unet_resnet34_6ch_corrected,0.20251861006969976,0.16807882135916466,-0.0344397887105351,0.25939658651741654,0.21355161396682,-0.04584497255059655,0.879703852174255,0.8811457419247416,0.0014418897504866468,12194633781,11584110063,9,9,,0.20251861006969976,True,0.3854391638255317,0.34906317898956385,-0.03637598483596788,0.08247168571894203,0.07458615700009333,-0.007885528718848706,0.060889578231786146,0.04587931997305648,-0.015010258258729668,0.9231654456446867,0.9233877840204048,0.00022233837571805637,0.0,0.0,0.0,0.003984570124333724,0.0030078744737500793,-0.0009766956505836443,0.00024185980191168514,0.0002431193957681996,1.259593856514456e-06,0.0067450247079582065,0.006753082784128174,8.058076169967926e-06,0.3597301625721475,0.10978887559571707,-0.24994128697643045
convnext_upernet_rgb_ndsm,0.3625495330327985,0.3308743414935757,-0.031675191539222824,0.4638548122329993,0.42602881858140784,-0.03782599365159145,0.9336633363881418,0.9341014033146795,0.00043806692653769463,12194633781,11584110063,9,9,,0.3625495330327985,True,0.5768722596493924,0.5488762179008687,-0.02799604174852366,0.2622169312329115,0.22353910550930345,-0.03867782572360806,0.20119779034751686,0.11122216479061858,-0.08997562555689828,0.9584182631770601,0.9588370654821242,0.000418802305064081,0.006061575520343257,0.00606259473784595,1.01921750269348e-06,0.2315942879775026,0.16827470431133154,-0.06331958366617105,0.14524879214187522,0.1436793750644204,-0.00156941707745481,0.11293471338824347,0.11296159712162689,2.6883733383414876e-05,0.7684011838603408,0.7044162485240415,-0.06398493533629934
convnext_upernet_10ch,0.3446638436049828,0.31367848503313034,-0.030985358571852473,0.43476343512911486,0.3986682513443293,-0.036095183784785545,0.9374200568295032,0.9378007214985489,0.00038066466904562724,12194633781,11584110063,9,9,,0.3446638436049828,False,0.5847095644868506,0.5547051894749914,-0.030004375011859263,0.23945572920376376,0.1903917459385673,-0.049063983265196454,0.2519705258840174,0.17935422500478124,-0.07261630087923618,0.9664220159837353,0.9672961702890707,0.0008741543053353285,0.0024170433641821265,0.002418378901411337,1.3355372292106482e-06,0.19742969481559047,0.13907481199628488,-0.05835488281930559,0.10041007847156849,0.09786577585586118,-0.0025443026157073168,0.0174673630337304,0.01726088170266246,-0.00020648133106793837,0.7416925772014069,0.6747391861345433,-0.0669533910668636
convnext_upernet_rgb,0.35864188131114566,0.3286626712072063,-0.029979210103939335,0.45925813657161263,0.4251488106367032,-0.03410932593490945,0.9336311235306625,0.9341249346000797,0.0004938110694172604,12194633781,11584110063,9,9,,0.35864188131114566,False,0.5754756822938513,0.5453168728419755,-0.030158809451875768,0.24247727353681545,0.2073173064108339,-0.035159967125981545,0.215909024393146,0.1352632268534179,-0.08064579753972809,0.9581740302860081,0.958478877414725,0.000304847128716923,0.008268167687035132,0.008385614514619001,0.0001174468275838697,0.2414465089007885,0.18745317202866266,-0.05399333687212585,0.15258688082637284,0.15514559604599312,0.0025587152196202834,0.08094663730472003,0.0809690530752392,2.2415770519174094e-05,0.752492726571574,0.6796343216793906,-0.07285840489218331
convnext_upernet_rgb_unw,0.33357983040412104,0.3037766031443099,-0.02980322725981116,0.42863644520879624,0.39477783990383014,-0.033858605304966094,0.9304994793430771,0.9306682828778299,0.00016880353475279275,12194633781,11584110063,9,9,,0.33357983040412104,False,0.5662414559799555,0.5362355504217563,-0.030005905558199153,0.25019797211251155,0.2124260384959301,-0.03777193361658146,0.20345248353071507,0.10671131050882457,-0.0967411730218905,0.9533407707054588,0.9533066292840798,-3.414142137891929e-05,0.012375595977595275,0.012376736727894227,1.1407502989516094e-06,0.10495566302897598,0.0956138906845366,-0.009341772344439378,0.12022592991104472,0.12016109506457513,-6.483484646958859e-05,0.09148263085384305,0.09142622765164882,-5.640320219423012e-05,0.6999459715369895,0.6057319494595429,-0.09421402207744656
convnext_upernet_10ch_unw,0.33066596576859575,0.30100064137837756,-0.029665324390218184,0.4172046488264539,0.3829967640483734,-0.03420788477808051,0.935849365216784,0.9366555464330623,0.00080618121627829,12194633781,11584110063,9,9,,0.33066596576859575,False,0.5709083693793778,0.5443786596523689,-0.026529709727008965,0.22326727023452697,0.17299020882757293,-0.05027706140695404,0.2694344855937085,0.18998900992707332,-0.07944547566663515,0.9612472576637136,0.9629415727911895,0.001694315127475976,0.0006681000364735198,0.0006681000364735198,0.0,0.11694460676345875,0.08472734603366597,-0.03221726072979278,0.08639151638110451,0.08492826166468342,-0.0014632547164210863,0.02582411355326336,0.025609777408206334,-0.0002143361450570279,0.721307972311735,0.6427728360641645,-0.07853513624757058
convnext_upernet_6ch,0.3374343528628417,0.3094848451570712,-0.027949507705770482,0.4257676871295344,0.39240377560736284,-0.03336391152217155,0.9275252146253854,0.9280746984042187,0.0005494837788333484,12194633781,11584110063,9,9,,0.3374343528628417,False,0.528788615551776,0.49390473511067645,-0.03488388044109958,0.20319029885719178,0.17393213809256175,-0.02925816076463003,0.20184735996635159,0.13620083913201586,-0.06564652083433573,0.9558735169739846,0.9559629817216247,8.946474764015555e-05,0.0,0.0,0.0,0.19828028556303656,0.13301893368912696,-0.0652613518739096,0.1363251943063053,0.1367028063610499,0.00037761205474459714,0.015909946857352336,0.01575459643197437,-0.0001553504253779675,0.7966939576895766,0.739886575874611,-0.056807381814965585
swin_upernet_rgb,0.29817191814481103,0.27116187092550326,-0.027010047219307776,0.3897239180485555,0.36112094043422055,-0.028602977614334946,0.9174672670721673,0.9185666193717344,0.0010993522995671468,12194633781,11584110063,9,9,,0.29817191814481103,False,0.49467308499569596,0.46685962162857453,-0.027813463367121427,0.20244376717269336,0.18014955215775127,-0.02229421501494208,0.2183341981438819,0.16190263706772243,-0.05643156107615949,0.9434721814107448,0.9443209582725434,0.000848776861798517,0.020314120142533067,0.02032448344570955,1.0363303176483263e-05,0.11304608600524597,0.10963753700543169,-0.0034085489998142843,0.030183223853428552,0.030433978905864006,0.0002507550524354536,0.07440270645910876,0.07463825721656434,0.00023555075745557152,0.586677895119967,0.4521898126293679,-0.13448808249059913
segformer_b1_6ch,0.268705916556842,0.2422142174633549,-0.026491699093487114,0.346996770906184,0.31833893151340803,-0.028657839392775997,0.914946827873092,0.9174505382977731,0.002503710424681116,12194633781,11584110063,9,9,,0.268705916556842,False,0.42431527295496396,0.3964091290486825,-0.02790614390628149,0.15948782870291753,0.1459711400046382,-0.013516688698279322,0.19221357470089298,0.14842685537354336,-0.04378671932734962,0.944501272877901,0.9449035504350781,0.0004022775571771442,0.0,0.0,0.0,0.061846063219959106,0.05175095951900919,-0.010095103700949917,0.020598962407222594,0.019065452448660283,-0.0015335099585623117,0.03422308623455578,0.03428487433160875,6.178809705296995e-05,0.5811671879131654,0.4391159960089734,-0.14205119190419196
