cell,acc_shared,acc_unshared,d_acc,miou_shared,miou_unshared,d_miou,px_shared,px_unshared,n_macro_shared,n_macro_unshared,iou_shared_asfalt,iou_unshared_asfalt,d_asfalt,iou_shared_fliser,iou_unshared_fliser,d_fliser,iou_shared_grus,iou_unshared_grus,d_grus,iou_shared_ubefestet,iou_unshared_ubefestet,d_ubefestet,iou_shared_green_roof,iou_unshared_green_roof,d_green_roof,iou_shared_drivhus,iou_unshared_drivhus,d_drivhus,iou_shared_betonflade,iou_unshared_betonflade,d_betonflade,iou_shared_brosten,iou_unshared_brosten,d_brosten,iou_shared_solceller,iou_unshared_solceller,d_solceller
convnext_upernet_10ch,0.9343592251880416,0.9370466487287449,-0.002687423540703282,0.6215198715892771,0.40303955587556217,0.21848031571371496,576349184,28786315,8,7,0.8229509337302031,0.7666084325503881,0.056342501179814986,0.601107812634044,0.44454030209902523,0.15656751053501877,0.6206510851500004,0.2782333905244719,0.34241769462552857,0.9497268127455499,0.9672205413148699,-0.017493728569319966,0.0,,,0.542341242775604,0.3550617283950617,0.1872795143805423,0.32949084782787463,0.0,0.32949084782787463,0.15246413041194884,0.009612496245118654,0.1428516341668302,0.9534261074389915,0.0,0.9534261074389915
convnext_upernet_10ch_unw,0.9239492963349107,0.9440478922015548,-0.020098595866644087,0.5861405929264343,0.3709038422310726,0.2152367506953617,576349184,28786315,8,7,0.788348644416853,0.8086899753733442,-0.020341330956491155,0.5992570984116321,0.4195460843774754,0.17971101403415668,0.642705866488243,0.3805588268648644,0.2621470396233786,0.923404688542014,0.9658761262605065,-0.04247143771849249,,,,0.30419553878352146,0.02165588274131784,0.2825396560422036,0.2259668995008655,0.0,0.2259668995008655,0.24594798188843078,0.0,0.24594798188843078,0.9592980253799148,0.0,0.9592980253799148
convnext_upernet_6ch,0.9204039924519092,0.9351099645786548,-0.014705972126745626,0.564120764883449,0.39457102057881693,0.16954974430463204,576349184,28786315,8,7,0.7940686419569967,0.7804821860590946,0.013586455897902083,0.44100585905272355,0.39109056743565906,0.04991529161706448,0.496473192244324,0.24023549890093074,0.2562376933433933,0.9595829236372653,0.962151425807035,-0.002568502169769782,,,,0.5509075716901634,0.28865611236757527,0.2622514593225881,0.10878444042097742,0.0008218386974967238,0.1079626017234807,0.21559972098737157,0.09855951478392722,0.11704020620344435,0.9465437690777704,0.0,0.9465437690777704
convnext_upernet_6ch_unw,0.9271186926847458,0.9288121803711242,-0.0016934876863784476,0.5526400813441945,0.3550842140300974,0.19755586731409713,576349184,28786315,8,7,0.7997032607282643,0.7186423173370469,0.08106094339121739,0.5013600611499938,0.3710065929882234,0.13035346816177035,0.5513587389882318,0.30476266364186044,0.2465960753463714,0.9609729703616304,0.9617526488765615,-0.0007796785149311036,,,,0.2794776368863236,0.08653731698607309,0.1929403199002505,0.22692717685762115,0.0,0.22692717685762115,0.15359741309620048,0.04288795838091613,0.11070945471528434,0.9477233926852905,0.0,0.9477233926852905
convnext_upernet_rgb,0.928242124482647,0.9392592278657411,-0.01101710338309414,0.5663518116674326,0.3962111544730673,0.17014065719436533,576349184,28786315,8,7,0.8072627189930415,0.8203694259349469,-0.01310670694190541,0.5318448895221962,0.3916347268745169,0.14021016264767933,0.5569563194827554,0.24024391305483256,0.3167124064279228,0.9572900875721998,0.9547503458575699,0.002539741714629895,0.0,,,0.5933907247986671,0.2997132403836646,0.29367748441500247,0.05796863635414877,0.04381772901662516,0.01415090733752361,0.07914205610058145,0.022948700189315233,0.056193355911266216,0.9469590605158718,,
convnext_upernet_rgb_unw,0.9309292836614825,0.9381161499830736,-0.0071868663215910455,0.5404996655682954,0.3554933238885133,0.18500634167978214,576349184,28786315,8,7,0.8000158378454628,0.7919335117631482,0.008082326082314628,0.5430341604701578,0.4084916024213889,0.13454255804876897,0.594309146632142,0.2858983621796494,0.30841078445249254,0.9603442914818356,0.9588739769019181,0.001470314579917531,0.0,,,0.16660202149261905,0.04325581395348837,0.12334620753913067,0.13365534896719236,0.0,0.13365534896719236,0.1754073744508092,0.0,0.1754073744508092,0.950629143206145,,
segformer_b1_10ch,0.8749425122808884,0.927362637419899,-0.05242012513901062,0.4158144692534564,0.37819588491118655,0.037618584342269834,576349184,28786315,8,7,0.6268833054477907,0.745556094259285,-0.11867278881149435,0.2753192956702563,0.3441319601826086,-0.0688126645123523,0.3848657753715421,0.1712274481176348,0.2136383272539073,0.9400365089461283,0.9590070882955687,-0.018970579349440353,0.0,,,0.1336613153806318,0.4256979885920144,-0.2920366732113826,0.027009254541158653,0.0017506149311941853,0.025258639609964467,0.001890359168241966,0.0,0.001890359168241966,0.9368499395019012,,
segformer_b1_10ch_unw,0.8582002017721257,0.9116427371825814,-0.05344253541045563,0.387722334273337,0.29043060752574096,0.09729172674759606,576349184,28786315,8,7,0.5924968994862062,0.6833727625314855,-0.09087586304527928,0.26199575505302447,0.2229078323981049,0.03908792265491956,0.3626163512023737,0.1726666734169696,0.1899496777854041,0.9019417095930683,0.9540669843336268,-0.0521252747405585,,,,0.0,0.0,0.0,0.038122791373559235,0.0,0.038122791373559235,0.008181028318352723,0.0,0.008181028318352723,0.9364241391601111,0.0,0.9364241391601111
segformer_b1_6ch,0.868952393623932,0.9287747667598302,-0.05982237313589822,0.4229293553147456,0.33161158494338855,0.09131777037135708,576349184,28786315,8,7,0.6003584977487626,0.7447154669298863,-0.14435696918112373,0.25870778296411767,0.30785109688405315,-0.04914331391993548,0.3812835684133429,0.18639019446593522,0.19489337394740766,0.9398832579421161,0.962553112818182,-0.022669854876065876,0.0,,,0.16841670964414646,0.11977122350566334,0.048645486138483116,0.1033014073792999,0.0,0.1033014073792999,4.183330265557805e-05,0.0,4.183330265557805e-05,0.9314417851235236,,
segformer_b1_6ch_unw,0.855216668442442,0.9033232284160025,-0.0481065599735605,0.37445751584708864,0.27403840676914226,0.10041910907794638,576349184,28786315,8,7,0.5634658686671156,0.6259998199668109,-0.0625339512996953,0.25297255620067144,0.23314385570432328,0.01982870049634816,0.3160075280652195,0.10608823830563288,0.2099192897595866,0.9285574842589122,0.953036933407229,-0.02447944914831679,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9346566895847905,,
