cell,route,fold,n_contam,n_clean,acc_contam,acc_clean,d_acc,miou_contam,miou_clean,d_miou,n_macro_contam,n_macro_clean,iou_contam_asfalt,iou_clean_asfalt,d_asfalt,iou_contam_fliser,iou_clean_fliser,d_fliser,iou_contam_grus,iou_clean_grus,d_grus,iou_contam_ubefestet,iou_clean_ubefestet,d_ubefestet,iou_contam_green_roof,iou_clean_green_roof,d_green_roof,iou_contam_drivhus,iou_clean_drivhus,d_drivhus,iou_contam_betonflade,iou_clean_betonflade,d_betonflade,iou_contam_brosten,iou_clean_brosten,d_brosten,iou_contam_solceller,iou_clean_solceller,d_solceller
convnext_upernet_10ch,82-20,2,522,86,0.8803872959397544,0.7680069891836171,0.1123803067561373,0.41998472713429397,0.33393170030047836,0.0860530268338156,8,7,0.7439871531581039,0.5729735645533549,0.17101358860474902,0.5055914356071043,0.30538199560851303,0.20020943999859125,0.49103288265803013,0.3401263450121415,0.15090653764588863,0.8986940134536555,0.8489340656772517,0.0497599477764038,0.0,0.0,0.0,0.4337930157555861,0.18822000866175834,0.24557300709382776,0.2321910885607919,0.0,0.2321910885607919,0.054520046450292285,0.08188592259032915,-0.02736587614003686,6.818143078732507e-05,0.0,6.818143078732507e-05
convnext_upernet_10ch,84-40,0,62,600,0.9877128187595869,0.7965389974564108,0.19117382130317617,0.6282893655141465,0.20557826102309434,0.42271110449105215,3,9,0.8902621987035996,0.5397683729403443,0.3504938257632553,0.0,0.16805327763140865,-0.16805327763140865,0.0,0.1343889832247952,-0.1343889832247952,0.99460589783884,0.8644074139290332,0.13019848390980682,,0.0,,,0.017319050956051657,,0.0,0.07928561159886287,-0.07928561159886287,,0.014293766018388655,,,0.03268787290896446,
convnext_upernet_10ch,84-41,2,61,282,0.995420769985255,0.9742927346543526,0.02112803533090235,0.9724192633622075,0.388647611455372,0.5837716519068354,2,5,0.9498216473360908,0.21943230549315906,0.7303893418429317,0.0,0.0,0.0,0.0,0.1102982628761113,-0.1102982628761113,0.9950168793883244,0.9741912476807046,0.02082563170761975,,0.0,,,0.0,,,0.0,,,0.0,,,0.639316241226885,
convnext_upernet_10ch,85-45,2,173,228,0.979661725632096,0.933749678041513,0.04591204759058298,0.970386025937826,0.8786453730272237,0.0917406529106023,3,2,,,,,,,0.9995448795533723,0.0,0.9995448795533723,0.9573068537974243,0.851517511890536,0.10578934190688827,,,,,0.0,,,,,,,,0.9543063444626809,0.9057732341639114,0.0485331102987695
convnext_upernet_10ch_unw,82-20,2,522,86,0.8578079257483816,0.754406411125591,0.10340151462279057,0.3754627203976581,0.3182872862099663,0.057175434187691776,8,7,0.6845011436983734,0.5671177162884213,0.11738342740995211,0.49236100054768206,0.327255935290183,0.16510506525749907,0.5190464527396973,0.4026669730806026,0.11637947965909468,0.8459202504658556,0.7463083732134322,0.09961187725242338,,,,0.22966682281297576,0.1354126679462572,0.09425415486671856,0.08678913296942962,0.0,0.08678913296942962,0.1332074482035143,0.04924933765086841,0.08395811055264588,0.01220951174373688,,
convnext_upernet_10ch_unw,84-40,0,62,600,0.9917089998286626,0.8001682964050717,0.19154070342359086,0.6414121094743698,0.20511644573485405,0.4362956637395157,3,9,0.9295361979936292,0.5497518115429315,0.3797843864506977,0.0,0.18421663128835067,-0.18421663128835067,0.0,0.15599402770263865,-0.15599402770263865,0.9947001304294802,0.8595948228050758,0.13510530762440442,,0.0,,,0.033136360236367714,,0.0,0.05230411307181057,-0.05230411307181057,,0.011050244966511668,,,0.0,
convnext_upernet_10ch_unw,84-41,2,61,282,0.9973354529145996,0.9834018483316438,0.013933604582955783,0.9841401504245151,0.4301782002531298,0.5539619501713853,2,5,0.9712042577441283,0.30653020698082944,0.6646740507632989,0.0,0.007877697841726618,-0.007877697841726618,0.0,0.17791966333155262,-0.17791966333155262,0.9970760431049017,0.9834342969357708,0.013641746169130942,,,,,,,,,,,0.0,,,0.6751291361757696,
convnext_upernet_10ch_unw,85-45,2,173,228,0.98665864503289,0.9338285647377096,0.05283008029518044,0.9802583232442096,0.8751035231584325,0.10515480008577704,3,2,,0.0,,,,,0.9991079908886891,0.0,0.9991079908886891,0.972042551429051,0.8508029412449489,0.12123961018410212,,,,,,,,,,,,,0.9696244274148886,0.8994041050719161,0.07022032234297249
convnext_upernet_6ch,82-20,2,522,86,0.8800655744556003,0.7811511879881357,0.09891438646746464,0.4054542423915246,0.35923799241804005,0.04621624997348456,8,7,0.7688835568408194,0.6002542919507353,0.16862926489008412,0.3869221797789486,0.3429694371054881,0.0439527426734605,0.44661249641852374,0.35797418365258793,0.08863831276593581,0.9296005943129132,0.8651144026302273,0.06448619168268588,,,,0.49832100504872606,0.3307460660813505,0.16757493896737558,0.06167923774993796,0.0,0.06167923774993796,0.15161486898232784,0.01760756550589096,0.13400730347643688,0.0,,
convnext_upernet_6ch,84-40,0,62,600,0.9870930610032164,0.7912586867674555,0.1958343742357609,0.6239489842707701,0.20492976184664022,0.4190192224241298,3,9,0.884318440976376,0.5220186599434261,0.3622997810329499,0.0,0.18912761363065708,-0.18912761363065708,0.0,0.095945676640702,-0.095945676640702,0.9875285118359342,0.8493002487083633,0.13822826312757086,,0.0,,,0.0396741523557904,,0.0,0.12940526678587763,-0.12940526678587763,,0.018437847183349832,,,0.0004583913715957047,
