epoch     train_loss  valid_loss  valid_accuracy  time
0         0.146971    0.405558    0.855440        52:30                                                                                                      
1         0.175500    0.294392    0.891711        52:29                                                                                                      
2         0.122102    0.469064    0.877419        52:10                                                                                                      
3         0.107485    0.319843    0.895731        52:26                                                                                                      
4         0.085388    0.274566    0.900867        52:19                                                                                                      
5         0.058207    0.269603    0.915053        52:24                                                                                                      
6         0.038858    0.251188    0.920045        52:21                                                                                                      
7         0.043972    0.259074    0.924123        52:38                                                                                                      
8         0.029069    0.262856    0.925430        52:31                                                                                                      
9         0.031998    0.263597    0.924429        52:28                                                                                                       
Saving model
