epoch     train_loss  valid_loss  valid_accuracy  time
0         0.168539    0.382982    0.854156        2:30:15                                                                                                   
1         0.166016    0.438746    0.836829        2:31:44                                                                                                   
2         0.149806    0.257539    0.899260        2:31:30                                                                                                   
3         0.111837    0.228258    0.913880        2:31:27                                                                                                   
4         0.089488    0.422240    0.880338        2:31:32                                                                                                   
5         0.059297    0.250723    0.913711        2:31:32                                                                                                   
6         0.047771    0.328862    0.911522        2:31:48                                                                                                   
7         0.028278    0.368723    0.909878        2:31:37                                                                                                   
8         0.020472    0.329536    0.911878        2:31:38                                                                                                   
9         0.020936    0.350122    0.910960        2:31:34                                                                                                   
Saving model
