epoch     train_loss  valid_loss  valid_accuracy  time
0         0.163396    0.301758    0.891093        1:51:06                                                                                                      
1         0.179957    0.328454    0.887064        1:51:05                                                                                                      
2         0.152610    0.311972    0.899283        1:51:01                                                                                                      
3         0.107982    0.248218    0.907019        1:51:00                                                                                                      
4         0.110265    0.253400    0.915932        1:51:03                                                                                                      
5         0.080627    0.245413    0.909637        1:50:57                                                                                                      
6         0.039926    0.225739    0.922275        1:50:57                                                                                                      
7         0.033694    0.212160    0.931977        1:51:02                                                                                                      
8         0.055123    0.273158    0.925596        1:51:00                                                                                                      
9         0.021287    0.259449    0.929849        1:51:01                                                                                                       
Saving model
