epoch     train_loss  valid_loss  valid_accuracy  time
0         0.188356    0.283144    0.882965        49:33                                                                                                      
1         0.155646    0.295627    0.889525        49:22                                                                                                      
2         0.196816    0.386737    0.870475        49:23                                                                                                      
3         0.157955    0.276054    0.900965        49:20                                                                                                      
4         0.085496    0.207974    0.925197        49:22                                                                                                      
5         0.083450    0.257435    0.916900        49:21                                                                                                      
6         0.053721    0.234518    0.926421        49:22                                                                                                      
7         0.046639    0.253674    0.919321        49:21                                                                                                      
8         0.046363    0.219117    0.935723        49:23                                                                                                      
9         0.021445    0.257049    0.929183        49:23                                                                                                       
Saving model
