epoch     train_loss  valid_loss  valid_accuracy  time
0         0.171151    0.366754    0.863256        49:34                                                                                                      
1         0.191278    0.280317    0.899816        49:24                                                                                                      
2         0.122082    0.346195    0.884088        49:24                                                                                                      
3         0.121819    0.395068    0.876158        49:19                                                                                                      
4         0.089423    0.242910    0.908493        49:16                                                                                                      
5         0.066170    0.228590    0.918081        49:18                                                                                                      
6         0.081287    0.320529    0.917794        49:23                                                                                                      
7         0.031518    0.215215    0.930862        49:20                                                                                                      
8         0.039384    0.242586    0.923530        49:20                                                                                                      
9         0.026698    0.238711    0.926352        49:20                                                                                                       
Saving model
