epoch     train_loss  valid_loss  valid_accuracy  time
0         0.180027    0.417160    0.860893        49:32                                                                                                      
1         0.171083    0.295373    0.888091        49:23                                                                                                      
2         0.154362    0.299908    0.886230        49:20                                                                                                      
3         0.118594    0.275102    0.915133        49:21                                                                                                      
4         0.097665    0.290675    0.886299        49:18                                                                                                      
5         0.058407    0.242523    0.921612        49:20                                                                                                      
6         0.067636    0.234416    0.924067        49:20                                                                                                      
7         0.046231    0.218868    0.929851        49:20                                                                                                      
8         0.022787    0.230637    0.931218        49:20                                                                                                      
9         0.027838    0.250490    0.929987        49:22                                                                                                       
Saving model
