epoch     train_loss  valid_loss  valid_accuracy  time
0         0.212520    0.374631    0.871855        49:44                                                                                                      
1         0.165821    0.356370    0.863587        49:34                                                                                                      
2         0.156321    0.344094    0.870004        49:33                                                                                                      
3         0.126331    0.304477    0.897033        49:29                                                                                                      
4         0.077756    0.340835    0.882317        49:26                                                                                                      
5         0.054650    0.310006    0.903453        49:28                                                                                                      
6         0.051493    0.281393    0.919132        49:28                                                                                                      
7         0.029813    0.231567    0.928198        49:32                                                                                                      
8         0.070793    0.290797    0.928572        49:34                                                                                                      
9         0.026761    0.285627    0.930640        49:31                                                                                                       
Saving model
