epoch     train_loss  valid_loss  valid_accuracy  time
0         0.208414    0.734860    0.819561        50:28                                                                                                      
1         0.343332    0.517177    0.825078        50:03                                                                                                      
2         0.240843    0.660657    0.805932        49:52                                                                                                      
3         0.199174    0.412985    0.840935        49:56                                                                                                      
4         0.185352    0.319545    0.887396        50:08                                                                                                      
5         0.159126    0.319168    0.894265        49:58                                                                                                      
6         0.128273    0.300748    0.889522        49:58                                                                                                      
7         0.110974    0.249163    0.913224        49:58                                                                                                      
8         0.118929    0.255854    0.910907        49:40                                                                                                      
9         0.100155    0.257554    0.912967        49:49                                                                                                       
saving model
