epoch     train_loss  valid_loss  valid_accuracy  time
0         0.199528    0.624051    0.803914        1:32:09                                                                                                      
1         0.284333    0.476279    0.823473        1:32:03                                                                                                      
2         0.221430    0.426301    0.848839        1:32:24                                                                                                      
3         0.223366    0.434549    0.843068        1:32:26                                                                                                      
4         0.167006    0.333820    0.885879        1:32:39                                                                                                      
5         0.143420    0.293331    0.891957        1:31:56                                                                                                      
6         0.139624    0.273135    0.896805        1:32:12                                                                                                      
7         0.099178    0.249175    0.906103        1:31:34                                                                                                      
8         0.130485    0.216603    0.923974        1:31:59                                                                                                      
9         0.101383    0.218134    0.921546        1:32:04                                                                                                       
saving model
