epoch     train_loss  valid_loss  valid_accuracy  time
0         0.276725    0.524713    0.826774        39:48                                                                                                      
1         0.313579    0.517957    0.810680        39:46                                                                                                      
2         0.300142    0.439221    0.834213        39:47                                                                                                      
3         0.218702    0.345878    0.876515        39:50                                                                                                      
4         0.201654    0.358255    0.873048        39:47                                                                                                      
5         0.158892    0.298496    0.892362        39:47                                                                                                      
6         0.164473    0.268084    0.909844        39:47                                                                                                      
7         0.126716    0.220950    0.919959        39:48                                                                                                      
8         0.126734    0.253471    0.911502        39:49                                                                                                      
9         0.101907    0.261937    0.913086        39:48                                                                                                       
saving model
