epoch     train_loss  valid_loss  valid_accuracy  time
0         0.260012    0.594208    0.815180        27:19                                                                                                      
1         0.284811    0.549051    0.807640        27:11                                                                                                      
2         0.226352    0.466550    0.848918        27:12                                                                                                      
3         0.213282    0.343635    0.877304        27:12                                                                                                      
4         0.150289    0.304743    0.893918        27:13                                                                                                      
5         0.187292    0.283683    0.896208        27:11                                                                                                      
6         0.162802    0.257066    0.907918        27:12                                                                                                      
7         0.131287    0.246563    0.914374        27:11                                                                                                      
8         0.112373    0.218973    0.916831        27:11                                                                                                      
9         0.088174    0.214095    0.918617        27:12                                                                                                       
saving model
