epoch     train_loss  valid_loss  valid_accuracy  time
0         0.380597    0.491447    0.843952        27:38                                                                                                      
1         0.250194    0.453668    0.844279        27:31                                                                                                      
2         0.209208    0.527097    0.822407        27:28                                                                                                      
3         0.203958    0.429039    0.853577        27:40                                                                                                      
4         0.210155    0.356080    0.874674        27:29                                                                                                      
5         0.179221    0.308837    0.887290        27:29                                                                                                      
6         0.178513    0.309114    0.891047        27:28                                                                                                      
7         0.112439    0.255621    0.907767        27:26                                                                                                      
8         0.095728    0.257255    0.908787        27:33                                                                                                      
9         0.102448    0.265555    0.903021        27:34                                                                                                       
saving model
