epoch     train_loss  valid_loss  valid_accuracy  time
0         0.218509    0.393726    0.852615        27:24                                                                                                      
1         0.270870    1.098776    0.784423        27:16                                                                                                      
2         0.245714    0.525469    0.820350        27:17                                                                                                      
3         0.197413    0.341764    0.878863        27:18                                                                                                      
4         0.272470    0.325843    0.877828        27:16                                                                                                      
5         0.137060    0.306142    0.891283        27:18                                                                                                      
6         0.129305    0.283790    0.895743        27:18                                                                                                      
7         0.112475    0.243164    0.914173        27:19                                                                                                      
8         0.095725    0.232142    0.916689        27:18                                                                                                      
9         0.094191    0.237475    0.916847        27:16                                                                                                       
saving model
