epoch     train_loss  valid_loss  valid_accuracy  time
0         0.243029    0.587741    0.813815        27:32                                                                                                      
1         0.278337    0.589324    0.803478        27:24                                                                                                      
2         0.224532    0.414702    0.842877        27:23                                                                                                      
3         0.208763    0.392211    0.858940        27:24                                                                                                      
4         0.198016    0.328604    0.876669        27:23                                                                                                      
5         0.143438    0.271534    0.905211        27:25                                                                                                      
6         0.172306    0.268539    0.900448        27:24                                                                                                      
7         0.172486    0.269515    0.908442        27:23                                                                                                      
8         0.141544    0.247906    0.914339        27:24                                                                                                      
9         0.107617    0.250557    0.912870        27:25                                                                                                       
saving model
