epoch     train_loss  valid_loss  valid_accuracy  time
0         0.353668    0.374567    0.861201        57:16                                                                                                      
1         0.211836    0.549770    0.826411        58:34                                                                                                      
2         0.170277    0.318493    0.889948        57:13                                                                                                      
3         0.215091    0.306876    0.876343        57:12                                                                                                      
4         0.088596    0.302817    0.882213        57:14                                                                                                      
5         0.113408    0.296386    0.899779        57:13                                                                                                      
6         0.091069    0.261835    0.915248        57:13                                                                                                      
7         0.057251    0.307929    0.913713        57:15                                                                                                      
8         0.056154    0.291363    0.919778        57:15                                                                                                      
9         0.044153    0.310928    0.919858        57:13                                                                                                       
Saving model
