epoch     train_loss  valid_loss  valid_accuracy  time
0         0.258791    0.286738    0.901083        2:25:43                                                                                                       
1         0.181613    0.503585    0.848809        2:25:39                                                                                                       
2         0.172172    0.342287    0.872085        2:25:28                                                                                                       
3         0.196571    0.287242    0.890533        2:25:32                                                                                                       
4         0.162578    0.286243    0.904750        2:25:31                                                                                                       
5         0.103401    0.246499    0.911788        2:25:30                                                                                                       
6         0.115224    0.217703    0.922447        2:25:33                                                                                                       
7         0.051214    0.291987    0.910946        2:25:33                                                                                                       
8         0.068232    0.236230    0.925202        2:25:35                                                                                                       
9         0.049901    0.239053    0.925908        2:25:35                                                                                                       
Saving model
