epoch     train_loss  valid_loss  valid_accuracy  time
0         0.215465    0.438606    0.854069        56:23                                                                                                      
1         0.213318    0.392477    0.856973        56:19                                                                                                      
2         0.172139    0.399477    0.855297        56:14                                                                                                      
3         0.171152    0.300419    0.886421        56:16                                                                                                      
4         0.129996    0.240574    0.912646        56:16                                                                                                      
5         0.084567    0.331481    0.889796        56:20                                                                                                      
6         0.105390    0.228470    0.923900        56:23                                                                                                      
7         0.066222    0.232730    0.926192        56:19                                                                                                      
8         0.054940    0.192481    0.932070        56:21                                                                                                      
9         0.039330    0.219248    0.932936        56:20                                                                                                       
Saving model
