epoch     train_loss  valid_loss  valid_accuracy  time
0         0.327040    0.366605    0.860031        56:24                                                                                                      
1         0.188380    0.411823    0.860070        56:19                                                                                                      
2         0.186804    0.330393    0.876615        56:15                                                                                                      
3         0.137582    0.258260    0.899831        56:21                                                                                                      
4         0.151929    0.277614    0.890370        56:19                                                                                                      
5         0.095517    0.299537    0.883431        56:16                                                                                                      
6         0.123085    0.329635    0.890411        56:15                                                                                                      
7         0.049788    0.287731    0.915204        56:17                                                                                                      
8         0.058544    0.298371    0.917655        56:18                                                                                                      
9         0.054097    0.324492    0.914985        56:18                                                                                                       
Saving model
