epoch     train_loss  valid_loss  valid_accuracy  time
0         0.173303    0.337666    0.888536        56:17                                                                                                      
1         0.204892    0.408658    0.847044        56:10                                                                                                      
2         0.205095    0.332961    0.865267        56:10                                                                                                      
3         0.172986    0.317819    0.876533        56:09                                                                                                      
4         0.151798    0.258355    0.896115        56:15                                                                                                      
5         0.203143    0.210464    0.915018        56:10                                                                                                      
6         0.122672    0.214178    0.921585        56:15                                                                                                      
7         0.079150    0.213207    0.928714        56:13                                                                                                      
8         0.047698    0.187843    0.937649        56:13                                                                                                      
9         0.047224    0.184646    0.935959        56:13                                                                                                       
Saving model
