epoch     train_loss  valid_loss  valid_accuracy  time
0         0.189164    0.359119    0.880860        56:25                                                                                                      
1         0.274126    0.423270    0.854610        56:21                                                                                                      
2         0.192883    0.385466    0.869915        56:18                                                                                                      
3         0.178550    0.305812    0.893110        56:18                                                                                                      
4         0.157658    0.320809    0.892468        56:19                                                                                                      
5         0.130195    0.259696    0.903689        56:18            
6         0.131109    0.267655    0.912593        56:18            
7         0.114770    0.224045    0.920462        56:19            
8         0.054363    0.222490    0.929135        56:19            
9         0.062058    0.237418    0.928978        56:19             
Saving model
