epoch     train_loss  valid_loss  valid_accuracy  time
0         0.319949    0.535090    0.813264        46:36                                                                                                   
1         0.322611    0.577693    0.813750        46:18                                                                                                   
2         0.279429    0.486465    0.826467        46:12                                                                                                   
3         0.342562    0.550839    0.811410        46:11                                                                                                   
4         0.175898    0.467187    0.816180        46:04                                                                                                   
5         0.177068    0.462072    0.844858        46:07                                                                                                   
6         0.128210    0.345392    0.880248        46:10                                                                                                   
7         0.134757    0.341482    0.875794        46:11                                                                                                   
8         0.113751    0.338408    0.886413        46:18                                                                                                
9         0.097227    0.347549    0.888131        46:17                                                                                                       
saving model
