class;index;iou;f1;precision;recall;support_pixels;present;in_macro
asfalt;1;0.768238035521588;0.8689305626150906;0.8389975445108973;0.9010784487392806;818756115;True;True
fliser;2;0.4344615313183696;0.6057485988056708;0.6771762900479233;0.5479513856364996;231902162;True;True
grus;3;0.5892971145822022;0.7415820606169261;0.7885753897502349;0.6998746473709;206716845;True;True
ubefestet;4;0.9881097841751832;0.9940193363970845;0.9922389675514209;0.9958061057389035;10667088919;True;True
green_roof;5;0.028188145259967653;0.05483071437833111;0.9473140980530144;0.028232405605933392;1430413;True;True
drivhus;6;0.0;0.0;;0.0;531496;True;True
betonflade;7;0.6518635201372747;0.7892462206358343;0.781031933259697;0.797635127516216;89260373;True;True
brosten;8;0.3937075904178769;0.5649787561246347;0.6607277786899699;0.493468085104261;120321684;True;True
unknown2;9;;;;;0;False;False
solceller;10;0.9564065965482761;0.9777176157918112;0.9857314361817612;0.9698330464686061;58625774;True;True
