epoch     train_loss  valid_loss  valid_accuracy  time
0         0.356034    0.482989    0.835384        57:28                                                                                                      
1         0.308563    0.503856    0.818998        57:08                                                                                                      
2         0.209817    0.463850    0.822716        57:05                                                                                                      
3         0.221114    0.479246    0.829123        56:51                                                                                                      
4         0.196040    0.428138    0.837886        57:03                                                                                                      
5         0.162807    0.385266    0.862815        56:56                                                                                                      
6         0.107288    0.409348    0.852245        57:38                                                                                                      
7         0.111264    0.344833    0.880348        57:00                                                                                                      
8         0.127714    0.303442    0.898635        57:07                                                                                                      
9         0.111053    0.313520    0.899627        57:05                                                                                                       
saving model
