epoch     train_loss  valid_loss  valid_accuracy  time
0         0.395221    0.502555    0.813802        1:03:19                                                                                                      
1         0.307536    0.590095    0.813695        1:03:10                                                                                                      
2         0.248939    0.479494    0.819887        1:02:51                                                                                                      
3         0.221142    0.448394    0.829051        1:02:47                                                                                                      
4         0.227373    0.429547    0.846787        1:02:54                                                                                                      
5         0.170391    0.406115    0.851112        1:02:57                                                                                                      
6         0.160210    0.334327    0.880657        1:03:01                                                                                                      
7         0.123209    0.373816    0.876069        1:02:58                                                                                                      
8         0.117496    0.331817    0.888001        1:03:08                                                                                                      
9         0.094408    0.330508    0.889346        1:03:01                                                                                                       
saving model
