epoch     train_loss  valid_loss  valid_accuracy  time
0         0.295365    0.591033    0.810808        43:17                                                                                                      
1         0.248921    0.609218    0.806376        43:14                                                                                                      
2         0.290828    0.447506    0.823467        43:09                                                                                                      
3         0.174862    0.648443    0.823874        43:01                                                                                                      
4         0.193257    0.394039    0.851458        42:59                                                                                                      
5         0.137933    0.418666    0.859146        42:58                                                                                                      
6         0.155072    0.384510    0.878511        43:00                                                                                                      
7         0.125926    0.293236    0.906705        43:05                                                                                                      
8         0.128607    0.311843    0.895271        43:06                                                                                                      
9         0.101035    0.277390    0.901087        43:06                                                                                                       
saving model
