epoch     train_loss  valid_loss  valid_accuracy  time
0         0.627966    0.556190    0.815243        43:11                                                                                                      
1         0.307060    0.576389    0.813476        42:47                                                                                                      
2         0.223111    0.438116    0.837030        42:44                                                                                                      
3         0.176244    0.488215    0.814784        42:46                                                                                                      
4         0.218495    0.381331    0.842712        42:47                                                                                                      
5         0.170775    0.390876    0.859220        42:45                                                                                                      
6         0.122228    0.331050    0.879793        42:46                                                                                                      
7         0.163227    0.344965    0.885131        42:43                                                                                                      
8         0.106227    0.296598    0.900349        42:44                                                                                                      
9         0.103014    0.308523    0.901478        42:46                                                                                                       
saving model
