epoch     train_loss  valid_loss  valid_accuracy  time
0         0.306828    0.470982    0.827472        43:10                                                                                                      
1         0.236759    0.531660    0.818118        42:56                                                                                                      
2         0.267143    0.465369    0.825679        42:56                                                                                                      
3         0.200937    0.411005    0.828321        42:56                                                                                                      
4         0.201709    0.393131    0.844477        42:50                                                                                                      
5         0.188237    0.329053    0.881126        42:51                                                                                                      
6         0.131061    0.330117    0.873702        42:52                                                                                                      
7         0.105067    0.306728    0.893773        42:52                                                                                                      
8         0.116905    0.292889    0.900249        42:51                                                                                                      
9         0.102100    0.294643    0.897676        42:48                                                                                                       
saving model
