epoch     train_loss  valid_loss  valid_accuracy  time
0         0.344212    0.690316    0.805526        43:10                                                                                                      
1         0.332037    0.487230    0.815683        42:49                                                                                                      
2         0.191862    0.524377    0.816261        42:47                                                                                                      
3         0.191727    0.453477    0.828103        42:48                                                                                                      
4         0.172664    0.427928    0.843145        42:46                                                                                                      
5         0.161417    0.363016    0.858332        42:47                                                                                                      
6         0.134812    0.337130    0.876382        42:49                                                                                                      
7         0.146363    0.343918    0.883643        42:48                                                                                                      
8         0.084307    0.289379    0.897472        42:50                                                                                                      
9         0.111562    0.290925    0.899994        42:54                                                                                                       
saving model
