epoch     train_loss  valid_loss  valid_accuracy  time
0         0.431480    0.542465    0.798173        52:03                                                                                                      
1         0.318850    0.589722    0.812926        51:47                                                                                                      
2         0.190920    0.477846    0.826212        51:35                                                                                                      
3         0.231305    0.401248    0.848013        51:37                                                                                                      
4         0.210524    0.439601    0.846137        51:32                                                                                                      
5         0.292906    0.379781    0.877041        51:33                                                                                                      
6         0.148406    0.308732    0.890951        51:32                                                                                                      
7         0.131572    0.324995    0.893106        51:35                                                                                                      
8         0.110807    0.311939    0.902719        51:37                                                                                                      
9         0.123148    0.323801    0.903093        51:38                                                                                                       
saving model
