,unknown,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,unknown2,solceller
unknown,0.0,0.0,0.0,0.69,99.31,0.0,0.0,0.0,0.0,0.0,0.0
asfalt,0.0,0.0,0.0,12.21,87.79,0.0,0.0,0.0,0.0,0.0,0.0
fliser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grus,0.0,0.0,0.0,8.65,91.35,0.0,0.0,0.0,0.0,0.0,0.0
ubefestet,0.0,0.0,0.0,0.06,99.94,0.0,0.0,0.0,0.0,0.0,0.0
green_roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drivhus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betonflade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solceller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
