,unknown,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,unknown2,solceller
unknown,0.0,17.42,10.32,3.01,62.52,0.14,0.0,0.59,3.61,0.0,2.37
asfalt,0.0,91.7,2.61,0.82,3.51,0.0,0.0,0.56,0.8,0.0,0.0
fliser,0.0,12.01,75.33,2.63,6.66,0.0,0.0,0.07,3.29,0.0,0.0
grus,0.0,2.6,2.46,78.82,15.0,0.0,0.0,0.02,1.08,0.0,0.01
ubefestet,0.0,0.17,0.09,0.18,99.5,0.0,0.0,0.01,0.03,0.0,0.01
green_roof,0.0,11.81,2.78,0.1,50.16,31.13,0.0,0.0,3.6,0.0,0.42
drivhus,0.0,2.16,7.57,3.16,77.56,0.21,5.57,0.0,2.15,0.0,1.62
betonflade,0.0,2.96,1.15,0.49,1.01,0.0,0.0,94.1,0.28,0.0,0.01
brosten,0.0,10.11,6.32,0.63,3.74,0.01,0.0,0.06,79.13,0.0,0.0
unknown2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solceller,0.0,0.29,0.06,0.11,1.66,0.01,0.0,0.0,0.02,0.0,97.85
