tile_a,route_a,fold_a,tile_b,route_b,fold_b,overlap_m2,pct_of_tile
O2021_82_16_1_0024_00004781_10cm_2000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_1000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_3000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_1000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_3000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_1000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_4000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_2000.tif,82-24,2,444.0,4.44
O2021_82_16_1_0024_00004781_10cm_4000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_1000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_4000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_1000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_5000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_2000.tif,82-24,2,156.0,1.56
O2021_82_16_1_0024_00004781_10cm_5000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_2000.tif,82-24,2,444.0,4.44
O2021_82_16_1_0024_00004781_10cm_5000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_1000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_5000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_1000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_2000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_2000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_2000.tif,82-24,2,444.0,4.44
O2021_82_16_1_0024_00004781_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_2000.tif,82-24,2,156.0,1.56
O2021_82_16_1_0024_00004781_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_1000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_1000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_2000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_2000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_7000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_2000.tif,82-24,2,444.0,4.44
O2021_82_16_1_0024_00004781_10cm_7000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_2000.tif,82-24,2,156.0,1.56
O2021_82_16_1_0024_00004781_10cm_7000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_1000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_7000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_1000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_7000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_3000.tif,82-24,2,4958.0,49.58
O2021_82_16_1_0024_00004781_10cm_7000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_2000.tif,82-24,2,6956.0,69.56
O2021_82_16_1_0024_00004781_10cm_7000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_2000.tif,82-24,2,2444.0,24.44
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_3000.tif,82-24,2,5494.0,54.94
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_6000_3000.tif,82-24,2,1206.0,12.06
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0023_00001726_10cm_0_0.tif,82-24,2,1988.0,19.88
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0023_00001727_10cm_0_3000.tif,82-24,2,2660.0,26.6
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_2000.tif,82-24,2,7708.0,77.08
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_6000_2000.tif,82-24,2,1692.0,16.92
O2021_82_16_1_0024_00004781_10cm_7440_1000.tif,82-16,2,O2021_82_24_1_0023_00001727_10cm_0_2000.tif,82-24,2,1820.0,18.2
O2021_82_16_1_0024_00004781_10cm_8000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_2000.tif,82-24,2,492.0,4.92
O2021_82_16_1_0024_00004781_10cm_8000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_6000_2000.tif,82-24,2,108.0,1.08
O2021_82_16_1_0024_00004781_10cm_8000_0.tif,82-16,2,O2021_82_24_1_0023_00001727_10cm_0_2000.tif,82-24,2,980.0,9.8
O2021_82_16_1_0024_00004781_10cm_8000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_5000_1000.tif,82-24,2,7708.0,77.08
O2021_82_16_1_0024_00004781_10cm_8000_0.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_6000_1000.tif,82-24,2,1692.0,16.92
O2021_82_16_1_0024_00004781_10cm_8000_0.tif,82-16,2,O2021_82_24_1_0023_00001727_10cm_0_1000.tif,82-24,2,1820.0,18.2
O2021_82_16_1_0024_00004782_10cm_2000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_0.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_2000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_3000.tif,82-24,2,5548.0,55.48
O2021_82_16_1_0024_00004782_10cm_2000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_2000.tif,82-24,2,6570.0,65.7
O2021_82_16_1_0024_00004782_10cm_2000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_1000.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_2000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_0.tif,82-24,2,4028.0,40.28
O2021_82_16_1_0024_00004782_10cm_2000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_3000.tif,82-24,2,1752.0,17.52
O2021_82_16_1_0024_00004782_10cm_2000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_1000.tif,82-24,2,4940.0,49.4
O2021_82_16_1_0024_00004782_10cm_2000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_0.tif,82-24,2,2660.0,26.6
O2021_82_16_1_0024_00004782_10cm_2000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_3000.tif,82-24,2,438.0,4.38
O2021_82_16_1_0024_00004782_10cm_3000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_0.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_3000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_0.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_3000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_3000.tif,82-24,2,5548.0,55.48
O2021_82_16_1_0024_00004782_10cm_3000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_3000.tif,82-24,2,2052.0,20.52
O2021_82_16_1_0024_00004782_10cm_3000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_2000.tif,82-24,2,2430.0,24.3
O2021_82_16_1_0024_00004782_10cm_3000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_2000.tif,82-24,2,6570.0,65.7
O2021_82_16_1_0024_00004782_10cm_3000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_1000.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_3000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_1000.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_3000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_0.tif,82-24,2,4028.0,40.28
O2021_82_16_1_0024_00004782_10cm_3000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_0.tif,82-24,2,1272.0,12.72
O2021_82_16_1_0024_00004782_10cm_3000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_3000.tif,82-24,2,1752.0,17.52
O2021_82_16_1_0024_00004782_10cm_3000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_3000.tif,82-24,2,648.0,6.48
O2021_82_16_1_0024_00004782_10cm_3000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_1000.tif,82-24,2,4940.0,49.4
O2021_82_16_1_0024_00004782_10cm_3000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_1000.tif,82-24,2,1560.0,15.6
O2021_82_16_1_0024_00004782_10cm_3000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_0.tif,82-24,2,2660.0,26.6
O2021_82_16_1_0024_00004782_10cm_3000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_0_0.tif,82-24,2,840.0,8.4
O2021_82_16_1_0024_00004782_10cm_3000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_3000.tif,82-24,2,438.0,4.38
O2021_82_16_1_0024_00004782_10cm_3000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_0_3000.tif,82-24,2,162.0,1.62
O2021_82_16_1_0024_00004782_10cm_4000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_0.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_4000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_0.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_4000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_3000.tif,82-24,2,5548.0,55.48
O2021_82_16_1_0024_00004782_10cm_4000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_3000.tif,82-24,2,2052.0,20.52
O2021_82_16_1_0024_00004782_10cm_4000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_2000.tif,82-24,2,2430.0,24.3
O2021_82_16_1_0024_00004782_10cm_4000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_2000.tif,82-24,2,6570.0,65.7
O2021_82_16_1_0024_00004782_10cm_4000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_1000.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_4000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_1000.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_4000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_0.tif,82-24,2,4028.0,40.28
O2021_82_16_1_0024_00004782_10cm_4000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_0.tif,82-24,2,1272.0,12.72
O2021_82_16_1_0024_00004782_10cm_4000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_3000.tif,82-24,2,1752.0,17.52
O2021_82_16_1_0024_00004782_10cm_4000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_3000.tif,82-24,2,648.0,6.48
O2021_82_16_1_0024_00004782_10cm_4000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_1000.tif,82-24,2,1560.0,15.6
O2021_82_16_1_0024_00004782_10cm_4000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_1000.tif,82-24,2,4940.0,49.4
O2021_82_16_1_0024_00004782_10cm_4000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_0.tif,82-24,2,2660.0,26.6
O2021_82_16_1_0024_00004782_10cm_4000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_1000_0.tif,82-24,2,840.0,8.4
O2021_82_16_1_0024_00004782_10cm_4000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_3000.tif,82-24,2,438.0,4.38
O2021_82_16_1_0024_00004782_10cm_4000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_1000_3000.tif,82-24,2,162.0,1.62
O2021_82_16_1_0024_00004782_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_0.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_0.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_3000.tif,82-24,2,2052.0,20.52
O2021_82_16_1_0024_00004782_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_3000.tif,82-24,2,5548.0,55.48
O2021_82_16_1_0024_00004782_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_2000.tif,82-24,2,6570.0,65.7
O2021_82_16_1_0024_00004782_10cm_5000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_2000.tif,82-24,2,2430.0,24.3
O2021_82_16_1_0024_00004782_10cm_5000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_1000.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_5000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_1000.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_5000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_0.tif,82-24,2,1272.0,12.72
O2021_82_16_1_0024_00004782_10cm_5000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_0.tif,82-24,2,4028.0,40.28
O2021_82_16_1_0024_00004782_10cm_5000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_3000.tif,82-24,2,648.0,6.48
O2021_82_16_1_0024_00004782_10cm_5000_2000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_3000.tif,82-24,2,1752.0,17.52
O2021_82_16_1_0024_00004782_10cm_5000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_1000.tif,82-24,2,1560.0,15.6
O2021_82_16_1_0024_00004782_10cm_5000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_1000.tif,82-24,2,4940.0,49.4
O2021_82_16_1_0024_00004782_10cm_5000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_2000_0.tif,82-24,2,840.0,8.4
O2021_82_16_1_0024_00004782_10cm_5000_3000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_0.tif,82-24,2,2660.0,26.6
O2021_82_16_1_0024_00004782_10cm_5000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_2000_3000.tif,82-24,2,162.0,1.62
O2021_82_16_1_0024_00004782_10cm_5000_3000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_3000.tif,82-24,2,438.0,4.38
O2021_82_16_1_0024_00004782_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_2000.tif,82-24,2,270.0,2.7
O2021_82_16_1_0024_00004782_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_4000_2000.tif,82-24,2,730.0,7.3
O2021_82_16_1_0024_00004782_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_4000_1000.tif,82-24,2,6570.0,65.7
O2021_82_16_1_0024_00004782_10cm_6000_0.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_1000.tif,82-24,2,2430.0,24.3
O2021_82_16_1_0024_00004782_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_0.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_0.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_4000_3000.tif,82-24,2,5548.0,55.48
O2021_82_16_1_0024_00004782_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_3000.tif,82-24,2,2052.0,20.52
O2021_82_16_1_0024_00004782_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_3000_2000.tif,82-24,2,2430.0,24.3
O2021_82_16_1_0024_00004782_10cm_6000_1000.tif,82-16,2,O2021_82_24_1_0022_00001738_10cm_4000_2000.tif,82-24,2,6570.0,65.7
O2021_82_16_1_0024_00004782_10cm_6000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_1000.tif,82-24,2,3572.0,35.72
O2021_82_16_1_0024_00004782_10cm_6000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_1000.tif,82-24,2,1128.0,11.28
O2021_82_16_1_0024_00004782_10cm_6000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_4000_0.tif,82-24,2,4028.0,40.28
O2021_82_16_1_0024_00004782_10cm_6000_2000.tif,82-16,2,O2021_82_24_1_0022_00001739_10cm_3000_0.tif,82-24,2,1272.0,12.72
