basename,channel,dtype,min,max,n_distinct,n_px,pct_nonfinite
O2021_84_40_1_0049_00072941,DSM,float32,-0.8967270851135254,33.930782318115234,1172540,37116300,0.0
O2021_84_40_1_0049_00072941,DTM,float32,-0.9397688508033752,5.970818519592285,1109204,37116300,0.0
O2021_83_25_1_0025_00001585,DSM,float32,0.0,19.496259689331055,4246228,78831600,0.0
O2021_83_25_1_0025_00001585,DTM,float32,0.0,16.671674728393555,4125738,78831600,0.0
O2023_85_45_1_0024_00001565,DSM,float32,27.65584373474121,59.32792663574219,1921919,70324800,0.0
O2023_85_45_1_0024_00001565,DTM,float32,27.64139175415039,40.778846740722656,1834853,70324800,0.0
O2023_84_40_1_0138_00062522,DSM,float32,-1.7283334732055664,29.325481414794922,2677914,70615000,0.0
O2023_84_40_1_0138_00062522,DTM,float32,-1.7283334732055664,19.544239044189453,2674521,70615000,0.0
O2021_82_13_1_0025_00144235,DSM,float32,46.76723861694336,75.08370208740234,1191769,62746000,0.0
O2021_82_13_1_0025_00144235,DTM,float32,46.76723861694336,55.82590866088867,816197,62746000,0.0
O2021_82_24_1_0023_00001726_10cm,DSM,float32,-0.08560395240783691,24.889047622680664,559095,30335400,0.0
O2021_82_24_1_0023_00001726_10cm,DTM,float32,-0.08560395240783691,7.374030590057373,552762,30335400,0.0
O2023_84_40_1_0127_00085824,DSM,float32,20.395999908447266,90.51136779785156,2124388,69262200,0.0
O2023_84_40_1_0127_00085824,DTM,float32,20.326675415039062,59.97614669799805,1976678,69262200,0.0
O2021_83_25_1_0025_00001593,DSM,float32,2.039557695388794,27.505962371826172,4124952,78611400,0.0
O2021_83_25_1_0025_00001593,DTM,float32,2.039557695388794,18.110746383666992,3882707,78611400,0.0
O2021_82_24_1_0024_00005686_10cm,DSM,float32,-1.643320918083191,24.23605728149414,1492036,30739500,0.0
O2021_82_24_1_0024_00005686_10cm,DTM,float32,-1.643320918083191,3.5845794677734375,1486803,30739500,0.0
O2021_82_24_1_0022_00001747_10cm,DSM,float32,28.678133010864258,92.52595520019531,1547418,30547200,0.0
O2021_82_24_1_0022_00001747_10cm,DTM,float32,28.63201141357422,50.17205047607422,1468195,30547200,0.0
O2021_82_22_1_0031_00000389,DSM,float32,20.309999465942383,120.73370361328125,3487699,63000000,0.0
O2021_82_22_1_0031_00000389,DTM,float32,20.309999465942383,94.58790588378906,3408098,63000000,0.0
O2023_84_41_1_0124_00164834,DSM,float32,19.732372283935547,56.267215728759766,525266,70590000,0.0
O2023_84_41_1_0124_00164834,DTM,float32,19.719980239868164,26.96169662475586,406566,70590000,0.0
O2023_84_41_1_0124_00164918,DSM,float32,12.419099807739258,59.93008041381836,3578826,70517600,0.0
O2023_84_41_1_0124_00164918,DTM,float32,12.419099807739258,27.93838882446289,3241784,70517600,0.0
O2023_84_40_1_0139_00061220,DSM,float32,14.19285774230957,59.75233459472656,3244551,70106200,0.0
O2023_84_40_1_0139_00061220,DTM,float32,14.062776565551758,40.53515625,3258212,70106200,0.0
O2021_84_40_1_0047_00073821,DSM,float32,-0.1132533922791481,78.24324798583984,3149066,54000000,0.0
O2021_84_40_1_0047_00073821,DTM,float32,-0.13266713917255402,11.453645706176758,2975403,54000000,0.0
O2021_82_21_1_0004_00002039,DSM,float32,42.590675354003906,99.65574645996094,4577257,204000000,0.0
O2021_82_21_1_0004_00002039,DTM,CORRUPT,,,-1,-1,
O2021_82_16_1_0029_00006117_10cm,DSM,float32,-0.8395920395851135,54.055702209472656,2826168,46588800,0.0
O2021_82_16_1_0029_00006117_10cm,DTM,float32,-0.8395920395851135,7.109055519104004,2789957,46588800,0.0
O2021_82_22_1_0031_00000390,DSM,float32,20.309999465942383,120.73370361328125,3413121,63000000,0.0
O2021_82_22_1_0031_00000390,DTM,float32,20.309999465942383,94.6419448852539,3287168,63000000,0.0
O2023_84_40_1_0141_00115849,DSM,float32,-0.0919434055685997,66.92186737060547,2095880,69358800,0.0
O2023_84_40_1_0141_00115849,DTM,float32,-0.09073743969202042,34.59495544433594,2066256,69358800,0.0
O2023_84_40_1_0208_00114026,DSM,float32,-1.4358506202697754,58.341941833496094,1543816,44312800,0.0
O2023_84_40_1_0208_00114026,DTM,float32,-2.2355899810791016,10.019292831420898,1474282,44312800,0.0
