file_a,file_b,relation,overlap_m2,overlap_pct_a,overlap_pct_b,bearing_deg
STRIP:82-11/2021/0023,STRIP:82-11/2021/0024,between_strip,672294.0,31.744,26.663,84.38
STRIP:82-11/2021/0024,STRIP:82-11/2021/0025,between_strip,836423.0,33.172,28.15,92.35
STRIP:82-11/2021/0025,STRIP:82-11/2021/0026,between_strip,956927.0,32.206,32.14,90.09
STRIP:82-11/2021/0026,STRIP:82-11/2021/0027,between_strip,865222.0,29.06,34.22,90.13
STRIP:82-13/2021/0024,STRIP:82-13/2021/0025,between_strip,923456.0,23.766,22.147,73.98
STRIP:82-13/2021/0025,STRIP:82-13/2021/0026,between_strip,792376.0,19.003,20.757,98.4
STRIP:82-16/2021/0024,STRIP:82-16/2021/0025,between_strip,162387.0,23.005,17.52,100.29
STRIP:82-16/2021/0025,STRIP:82-16/2021/0026,between_strip,254313.0,27.438,27.505,80.87
STRIP:82-16/2021/0026,STRIP:82-16/2021/0027,between_strip,113015.0,12.223,24.375,110.19
STRIP:82-16/2021/0027,STRIP:82-16/2021/0028,between_strip,123477.0,26.632,13.725,115.26
STRIP:82-16/2021/0028,STRIP:82-16/2021/0029,between_strip,91996.0,10.226,19.746,120.32
STRIP:82-16/2021/0029,STRIP:82-16/2021/0030,between_strip,45696.0,9.808,9.803,62.94
STRIP:82-19/2021/0022,STRIP:82-19/2021/0023,between_strip,711204.0,20.702,20.696,87.03
STRIP:82-19/2021/0023,STRIP:82-19/2021/0024,between_strip,1086016.0,31.602,31.652,93.21
STRIP:82-20/2021/0023,STRIP:82-20/2021/0024,between_strip,1052927.0,22.137,22.165,88.99
STRIP:82-21/2021/0004,STRIP:82-21/2021/0005,between_strip,952571.0,25.824,33.466,103.61
STRIP:82-21/2021/0005,STRIP:82-21/2021/0006,between_strip,687209.0,24.143,15.321,67.75
STRIP:82-22/2021/0029,STRIP:82-22/2021/0030,between_strip,677173.0,31.322,31.239,104.01
STRIP:82-22/2021/0030,STRIP:82-22/2021/0031,between_strip,496772.0,22.917,22.951,61.69
STRIP:82-22/2021/0031,STRIP:82-22/2021/0032,between_strip,841493.0,38.876,38.945,115.78
STRIP:82-22/2021/0032,STRIP:82-22/2021/0033,between_strip,551647.0,25.531,25.562,83.4
STRIP:82-24/2021/0019,STRIP:82-24/2021/0020,between_strip,259945.0,18.829,20.162,109.48
STRIP:82-24/2021/0020,STRIP:82-24/2021/0021,between_strip,364832.0,28.298,19.926,92.29
STRIP:82-24/2021/0021,STRIP:82-24/2021/0022,between_strip,439057.0,23.98,12.094,10.47
STRIP:82-24/2021/0022,STRIP:82-24/2021/0023,between_strip,633058.0,17.438,22.019,23.29
STRIP:82-24/2021/0023,STRIP:82-24/2021/0024,between_strip,762932.0,26.536,26.067,101.1
STRIP:82-24/2021/0024,STRIP:82-24/2021/0025,between_strip,226749.0,7.747,30.268,153.96
STRIP:82-24/2023/0002,STRIP:82-24/2023/0003,between_strip,1821534.0,34.389,28.771,92.03
STRIP:82-24/2023/0005,STRIP:82-24/2023/0006,between_strip,1401433.0,33.373,33.392,89.25
STRIP:82-24/2023/0006,STRIP:82-24/2023/0007,between_strip,0.0,0.0,0.0,8.5
STRIP:82-24/2023/0007,STRIP:82-24/2023/0008,between_strip,3390089.0,32.576,27.16,127.93
STRIP:82-24/2023/0008,STRIP:82-24/2023/0009,between_strip,1081559.0,8.665,16.807,174.69
STRIP:82-24/2023/0009,STRIP:82-24/2023/0010,between_strip,212960.0,3.309,6.618,6.45
STRIP:82-24/2023/0010,STRIP:82-24/2023/0011,between_strip,1094042.0,34.0,13.263,134.17
STRIP:82-24/2023/0011,STRIP:82-24/2023/0012,between_strip,2773344.0,33.621,30.023,77.79
STRIP:82-24/2023/0012,STRIP:82-24/2023/0013,between_strip,2741945.0,29.683,33.391,74.78
STRIP:82-24/2023/0013,STRIP:82-24/2023/0014,between_strip,2299666.0,28.005,32.054,79.93
STRIP:82-24/2023/0016,STRIP:82-24/2023/0017,between_strip,955227.0,30.583,23.169,99.53
STRIP:83-25/2021/0014,STRIP:83-25/2021/0015,between_strip,543182.0,20.48,19.305,74.41
STRIP:83-25/2021/0015,STRIP:83-25/2021/0016,between_strip,586716.0,20.852,22.148,106.2
STRIP:83-25/2021/0016,STRIP:83-25/2021/0017,between_strip,520895.0,19.663,17.046,78.38
STRIP:83-25/2021/0017,STRIP:83-25/2021/0018,between_strip,619004.0,20.256,20.332,83.42
STRIP:83-25/2021/0022,STRIP:83-25/2021/0023,between_strip,744435.0,19.904,14.218,130.12
STRIP:83-25/2021/0023,STRIP:83-25/2021/0024,between_strip,1146606.0,21.9,19.169,99.22
STRIP:83-25/2021/0024,STRIP:83-25/2021/0025,between_strip,966576.0,16.159,19.694,87.46
STRIP:83-25/2021/0025,STRIP:83-25/2021/0026,between_strip,947636.0,19.308,19.384,75.06
STRIP:83-25/2021/0026,STRIP:83-25/2021/0027,between_strip,766178.0,15.672,15.751,91.44
