route,year,f5_a,f5_b,area_a_km2,area_b_km2,overlap_km2,pct_a,pct_b,bearing,dist_m,adjacent
82-11,2021,0023,0024,2.117851,2.521464,0.672294,31.7441595277477,26.66284349092432,84.3816535949839,813.7424688165587,True
82-11,2021,0024,0025,2.521464,2.971255,0.836423,33.17211746826447,28.150495329414674,92.34565716083824,789.4233640654552,True
82-11,2021,0025,0026,2.971255,2.977415,0.956927,32.206155311476124,32.139523714362966,90.0868891619316,800.7152064477704,True
82-11,2021,0026,0027,2.977415,2.528422,0.865222,29.059502958102918,34.2198414663375,90.13303001309674,779.359243544909,True
82-13,2021,0024,0025,3.885633,4.169706,0.923456,23.765908926550708,22.14678924605236,73.9848893379883,722.2470626269371,True
82-13,2021,0025,0026,4.169706,3.817319,0.792376,19.00316233326762,20.757395439050285,98.40483294714448,736.0069824062583,True
82-16,2021,0024,0025,0.705882,0.926862,0.162387,23.00483650241825,17.520083895984516,100.29258613231593,661.8165080124,True
82-16,2021,0025,0026,0.926862,0.924615,0.254313,27.438065213591667,27.50474521828004,80.8719321508542,598.8335014843441,True
82-16,2021,0026,0027,0.924615,0.46365,0.113015,12.222925217522969,24.37506739997843,110.18957367082248,681.6323239107722,True
82-16,2021,0027,0028,0.46365,0.899663,0.123477,26.631510837916533,13.724805843966019,115.25898325306025,672.0012090762933,True
82-16,2021,0028,0029,0.899663,0.465888,0.091996,10.22560669939744,19.746376811594203,120.32233786709025,735.3462619745883,True
82-16,2021,0029,0030,0.465888,0.466146,0.045696,9.808365959200495,9.80293727716209,62.93658244594428,719.8175115958211,True
82-19,2021,0022,0023,3.435388,3.436506,0.711204,20.702290396310403,20.695555311121236,87.02520360358227,871.9249537660911,True
82-19,2021,0023,0024,3.436506,3.431109,1.086016,31.60233097221422,31.652040200413335,93.2105556911983,749.9270381177091,True
82-20,2021,0023,0024,4.756403,4.750503,1.052927,22.137043475920773,22.1645371027026,88.99149021699236,1320.954626397137,True
82-21,2021,0004,0005,3.688662,2.846426,0.952571,25.82429618110849,33.46551078440121,103.60813603243253,1163.1524811668564,True
82-21,2021,0005,0006,2.846426,4.485278,0.687209,24.142872500461984,15.32143604030787,67.75011893600555,1405.663922315715,True
82-22,2021,0029,0030,2.161971,2.167726,0.677173,31.322020508138177,31.23886505951398,104.00827429900079,621.0529645066156,True
82-22,2021,0030,0031,2.167726,2.164534,0.496772,22.916733941466774,22.95052884362177,61.69429099948735,753.763820272514,True
82-22,2021,0031,0032,2.164534,2.16073,0.841493,38.87640480583811,38.94484734325899,115.78409127590191,579.5654104227588,True
82-22,2021,0032,0033,2.16073,2.158101,0.551647,25.530584570955188,25.561685945189776,83.39575837639336,672.5461789184234,True
82-24,2021,0019,0020,1.380522,1.289253,0.259945,18.829471750540737,20.162450659412855,109.47962916674601,690.313465028546,True
82-24,2021,0020,0021,1.289253,1.830896,0.364832,28.29793686731774,19.92641854043048,92.28576578314653,601.0353660347208,True
82-24,2021,0021,0022,1.830896,3.630363,0.439057,23.980444547369157,12.094024757303885,10.468108111052118,3276.9117217069943,True
82-24,2021,0022,0023,3.630363,2.87504,0.633058,17.43787053801507,22.019102342923926,23.286247387694573,1582.0736690954075,True
82-24,2021,0023,0024,2.87504,2.926773,0.762932,26.536396015359788,26.067344478030922,101.09792584322224,644.8506098530698,True
82-24,2021,0024,0025,2.926773,0.749129,0.226749,7.747406443888884,30.26835164571122,153.95872614208383,1392.2154619027244,True
82-24,2023,0002,0003,5.29686,6.331134,1.821534,34.38893986248457,28.771054285061727,92.03018851115098,1189.0963956403805,True
