route,year_span,route_tiles,px_unknown,px_asfalt,px_fliser,px_grus,px_ubefestet,px_green_roof,px_drivhus,px_betonflade,px_brosten,px_unknown2,px_solceller,tiles_unknown,tiles_asfalt,tiles_fliser,tiles_grus,tiles_ubefestet,tiles_green_roof,tiles_drivhus,tiles_betonflade,tiles_brosten,tiles_unknown2,tiles_solceller
82-11,2021,1441,169982597,0,0,14358831,1256658572,0,0,0,0,0,0,565,0,0,362,1425,0,0,0,0,0,0
82-13,2021,1043,179010794,43403053,0,2448993,798439546,0,0,19697614,0,0,0,570,307,0,52,1011,0,0,144,0,0,0
82-16,2021,378,71170643,0,0,501111,306328246,0,0,0,0,0,0,156,0,0,23,376,0,0,0,0,0,0
82-19,2021,591,157777251,31254862,9134566,8584810,364355494,0,38479,207796,19020,0,19627722,530,328,200,217,584,0,41,21,3,0,46
82-20,2021,608,291622440,77549696,26798439,25939385,184977513,0,84667,884856,85010,0,57994,581,465,350,359,588,0,47,38,29,0,17
82-21,2021,313,118275865,38961535,11671879,12595280,131028678,0,29087,371149,34769,0,31758,278,208,155,168,304,0,19,15,12,0,10
82-22,2021,1360,345913054,62665310,31585593,23884318,895426314,0,123317,379048,23046,0,0,1202,646,550,747,1349,0,61,41,3,0,0
82-24,2021+2023,1529,886088423,144598144,73793441,6166819,402388324,252957,37359,399901,15274632,0,0,1357,979,754,139,1276,17,17,11,426,0,0
83-25,2021,3630,742507538,11924841,5624391,4904425,2864924698,0,89505,0,24602,0,0,1540,184,111,148,3572,0,49,0,5,0,0
83-26,2021,1228,281974742,5197823,0,1979149,938848286,0,0,0,0,0,0,654,95,0,60,1211,0,0,0,0,0,0
83-31,2021,1020,183223082,0,0,0,836776918,0,0,0,0,0,0,384,0,0,0,1017,0,0,0,0,0,0
83-34,2021,10,8932804,0,0,720916,346280,0,0,0,0,0,0,10,0,0,5,8,0,0,0,0,0,0
84-40,2021+2023,5269,3042831938,399266753,73274814,101225669,1478461554,1177456,129082,67320009,104860605,0,452120,4948,2671,1813,1554,4187,73,94,328,1450,0,28
84-41,2021+2023,343,161844252,3934098,19039,397414,174496383,0,0,0,0,0,2308814,276,36,1,19,332,0,0,0,0,0,33
85-45,2023,401,350092372,0,0,1902594,21939755,0,0,0,0,0,27065279,401,0,0,48,310,0,0,0,0,0,326
85-48,2023,150,128118424,0,0,1107131,11692358,0,0,0,0,0,9082087,150,0,0,35,76,0,0,0,0,0,108
