epoch     train_loss  valid_loss  valid_accuracy  time
0         0.181044    0.883263    0.837479        1:19:27                                                                                                    
1         0.183837    0.981537    0.809689        1:23:40                                                                                                    
2         0.281331    0.880834    0.854284        1:23:27                                                                                                    
3         0.120730    0.912205    0.849980        1:23:15                                                                                                    
4         0.125558    1.326386    0.837380        1:23:24                                                                                                    
5         0.035487    1.152538    0.841036        1:23:18                                                                                                    
6         0.034212    1.121701    0.849004        1:23:13                                                                                                    
7         0.024458    1.157111    0.848864        1:23:12                                                                                                    
8         0.030237    1.279176    0.847566        1:23:19                                                                                                    
9         0.020621    1.276976    0.847996        1:22:51                                                                                                     
Saving model
