epoch     train_loss  valid_loss  valid_accuracy  time
0         0.164248    1.000281    0.815120        1:18:43                                                                                                    
1         0.115832    0.753237    0.846072        1:22:15                                                                                                    
2         0.177253    0.830063    0.815295        1:22:20                                                                                                    
3         0.091114    0.768532    0.847508        1:22:31                                                                                                    
4         0.082939    0.750134    0.834154        1:22:02                                                                                                    
5         0.051124    0.793497    0.838565        1:22:17                                                                                                    
6         0.034440    0.824347    0.850929        1:22:23                                                                                                    
7         0.019910    0.906348    0.850555        1:22:16                                                                                                    
8         0.014286    0.991227    0.845222        1:22:11                                                                                                    
9         0.014318    0.959054    0.848229        1:22:22                                                                                                     
Saving model
