epoch     train_loss  valid_loss  valid_accuracy  time
0         0.377037    0.100625    0.982653        1:18:11                                                                                                    
1         0.295384    0.408742    0.903580        1:22:22                                                                                                    
2         0.290806    0.239651    0.949594        1:22:28                                                                                                    
3         0.151384    0.117572    0.981053        1:22:37                                                                                                    
4         0.238314    0.162137    0.985077        1:22:33                                                                                                    
5         0.072992    0.142352    0.986080        1:22:39                                                                                                    
6         0.086163    0.147426    0.986863        1:22:36                                                                                                    
7         0.043951    0.134778    0.987858        1:22:51                                                                                                    
8         0.034759    0.140699    0.987918        1:23:10                                                                                                    
9         0.034786    0.147622    0.987935        1:23:04                                                                                                     
Saving model
