epoch     train_loss  valid_loss  valid_accuracy  time
0         0.425523    0.167635    0.944997        1:17:36                                                                                                    
1         0.282077    0.083441    0.982309        1:22:15                                                                                                    
2         0.273536    0.132093    0.970614        1:22:04                                                                                                    
3         0.158327    0.116869    0.981669        1:22:09                                                                                                    
4         0.116954    0.086821    0.984170        1:22:15                                                                                                    
5         0.088476    0.077899    0.985195        1:22:26                                                                                                    
6         0.065777    0.099435    0.986407        1:22:07                                                                                                    
7         0.057129    0.115815    0.984948        1:22:29                                                                                                    
8         0.047447    0.114079    0.987534        1:22:11                                                                                                    
9         0.033229    0.120858    0.986277        1:22:15                                                                                                     
Saving model
