epoch     train_loss  valid_loss  valid_accuracy  time
0         0.309102    0.445978    0.896749        1:20:10                                                                                                    
1         0.318172    0.419706    0.908956        1:23:41                                                                                                    
2         0.258354    0.417153    0.903116        1:23:30                                                                                                    
3         0.142717    0.421629    0.912907        1:23:21                                                                                                    
4         0.083442    0.430328    0.913783        1:23:32                                                                                                    
5         0.074927    0.500354    0.911212        1:23:41                                                                                                    
6         0.223436    0.569824    0.915958        1:23:45                                                                                                    
7         0.025668    0.585626    0.926714        1:23:26                                                                                                    
8         0.026732    0.619807    0.924782        1:23:27                                                                                                    
9         0.093257    0.627585    0.923930        1:22:56                                                                                                     
Saving model
