epoch     train_loss  valid_loss  valid_accuracy  time
0         0.194083    0.359904    0.892446        1:17:14                                                                                                    
1         0.119091    0.403981    0.899293        1:21:42                                                                                                    
2         0.130760    0.343493    0.903922        1:21:43                                                                                                    
3         0.159556    0.488731    0.882349        1:22:04                                                                                                    
4         0.087394    0.609490    0.915745        1:21:53                                                                                                    
5         0.061225    0.462310    0.908130        1:21:56                                                                                                    
6         0.036581    0.524760    0.919686        1:21:57                                                                                                    
7         0.042450    0.489576    0.925694        1:22:03                                                                                                    
8         0.025804    0.595156    0.920493        1:22:13                                                                                                    
9         0.030237    0.579711    0.919953        1:21:48                                                                                                     
Saving model
