epoch     train_loss  valid_loss  valid_accuracy  time
0         0.155086    1.044219    0.804458        58:31                                                                                                      
1         0.175182    3.150898    0.757664        1:00:29                                                                                                    
2         0.108580    1.350562    0.813057        1:00:12                                                                                                    
3         0.088634    2.206526    0.773156        59:48                                                                                                      
4         0.071926    1.447902    0.835305        1:00:03                                                                                                    
5         0.090513    1.752533    0.810589        1:00:31                                                                                                    
6         0.035425    1.562919    0.840229        1:00:34                                                                                                    
7         0.020855    1.499729    0.833309        1:00:39                                                                                                    
8         0.036408    1.845074    0.814790        1:01:48                                                                                                    
9         0.023432    1.795434    0.811405        1:00:20                                                                                                     
Saving model
