epoch     train_loss  valid_loss  valid_accuracy  time
0         0.390103    0.174559    0.951717        56:13                                                                                                      
1         0.419598    0.088151    0.984292        1:00:33                                                                                                    
2         0.286788    0.158224    0.963309        1:00:52                                                                                                    
3         0.257440    0.157608    0.984150        1:00:28                                                                                                    
4         0.116134    0.102420    0.984838        1:00:35                                                                                                    
5         0.098345    0.120142    0.986089        1:01:45                                                                                                    
6         0.074757    0.115272    0.985722        1:01:07                                                                                                    
7         0.046040    0.137664    0.987441        59:49                                                                                                      
8         0.045632    0.148005    0.987267        1:00:49                                                                                                    
9         0.037625    0.153836    0.986962        1:00:30                                                                                                     
Saving model
