epoch     train_loss  valid_loss  valid_accuracy  time
0         0.431302    0.497438    0.889970        54:45                                                                                                      
1         0.247014    0.423736    0.896224        1:00:44                                                                                                    
2         0.191274    0.502958    0.900964        1:00:54                                                                                                    
3         0.153215    0.551259    0.904296        1:00:16                                                                                                    
4         0.099321    0.678122    0.875779        59:58                                                                                                      
5         0.087762    0.667821    0.906352        59:54                                                                                                      
6         0.060409    0.557827    0.909080        59:56                                                                                                      
7         0.047715    0.563193    0.914758        1:00:09                                                                                                    
8         0.037249    0.568101    0.915989        1:00:40                                                                                                    
9         0.039299    0.631588    0.916065        59:52                                                                                                       
Saving model
