epoch     train_loss  valid_loss  valid_accuracy  time
0         0.188375    0.822242    0.798065        49:11                                                                                                      
1         0.182690    2.104667    0.765973        50:24                                                                                                      
2         0.146097    1.292244    0.814175        50:19                                                                                                      
3         0.148653    0.930877    0.829356        50:26                                                                                                      
4         0.088685    1.165337    0.849310        50:42                                                                                                      
5         0.070023    1.261455    0.852345        50:20                                                                                                      
6         0.113884    1.571555    0.836142        50:26                                                                                                      
7         0.027422    1.488091    0.841709        50:16                                                                                                      
8         0.013903    1.507328    0.839769        50:21                                                                                                      
9         0.025749    1.593690    0.839764        50:11                                                                                                       
Saving model
