epoch     train_loss  valid_loss  valid_accuracy  time
0         0.145097    0.765040    0.816031        48:44                                                                                                      
1         0.248261    0.733398    0.814772        50:19                                                                                                      
2         0.135350    0.763028    0.847982        50:22                                                                                                      
3         0.072096    0.745395    0.852164        50:14                                                                                                      
4         0.072957    1.044428    0.814565        50:40                                                                                                      
5         0.042302    0.871076    0.846461        50:08                                                                                                      
6         0.024147    1.197875    0.828199        50:14                                                                                                      
7         0.023190    0.981865    0.843151        50:08                                                                                                      
8         0.031967    1.118789    0.839131        50:16                                                                                                      
9         0.028401    1.178491    0.834207        50:14                                                                                                       
Saving model
