epoch     train_loss  valid_loss  valid_accuracy  time
0         0.309706    0.089233    0.982997        47:14                                                                                                      
1         0.371725    0.093913    0.983282        49:55                                                                                                      
2         0.274027    0.150018    0.974826        49:38                                                                                                      
3         0.200479    1.125145    0.833711        49:52                                                                                                      
4         0.112033    0.151958    0.977558        50:01                                                                                                      
5         0.117110    0.199104    0.966172        49:51                                                                                                      
6         0.064020    0.211588    0.975236        49:33                                                                                                      
7         0.040634    0.233962    0.978937        49:39                                                                                                      
8         0.043533    0.262630    0.972122        49:38                                                                                                      
9         0.038553    0.277502    0.974939        49:47                                                                                                       
Saving model
