epoch     train_loss  valid_loss  valid_accuracy  time
0         0.243539    0.091399    0.976675        47:11                                                                                                      
1         0.256959    0.110574    0.979136        49:19                                                                                                      
2         0.220984    0.109075    0.975879        49:25                                                                                                      
3         0.170202    0.149975    0.977933        49:18                                                                                                      
4         0.144709    0.203396    0.950920        49:25                                                                                                      
5         0.093047    0.146409    0.977772        49:21                                                                                                      
6         0.056645    0.176197    0.978758        49:15                                                                                                      
7         0.144660    0.346064    0.950434        49:22                                                                                                      
8         0.038751    0.179732    0.977149        49:40                                                                                                      
9         0.050458    0.182553    0.977907        49:18                                                                                                       
Saving model
