epoch     train_loss  valid_loss  valid_accuracy  time
0         0.272399    0.643173    0.883470        48:02                                                                                                      
1         0.303870    0.346821    0.903912        49:53                                                                                                      
2         0.151504    0.500557    0.899074        50:07                                                                                                      
3         0.123451    0.483701    0.901108        50:03                                                                                                      
4         0.092026    0.425359    0.905666        50:13                                                                                                      
5         0.071398    0.733039    0.880363        50:11                                                                                                      
6         0.062344    0.454890    0.920595        50:06                                                                                                      
7         0.036406    0.578285    0.915062        50:12                                                                                                      
8         0.069732    0.703622    0.914721        50:11                                                                                                      
9         0.025626    0.725790    0.913577        50:08                                                                                                       
Saving model
