epoch     train_loss  valid_loss  valid_accuracy  time
0         0.174341    0.406160    0.870573        48:09                                                                                                      
1         0.195510    0.359982    0.907745        49:41                                                                                                      
2         0.160193    0.327799    0.905791        49:36                                                                                                      
3         0.336228    0.399224    0.896640        49:39                                                                                                      
4         0.099176    0.303653    0.909626        49:34                                                                                                      
5         0.049549    0.424964    0.906633        49:45                                                                                                      
6         0.095645    0.419926    0.915090        49:38                                                                                                      
7         0.040215    0.470082    0.913029        49:37                                                                                                      
8         0.026428    0.476753    0.914299        49:41                                                                                                      
9         0.025989    0.510715    0.914021        49:49                                                                                                       
Saving model
