epoch     train_loss  valid_loss  valid_accuracy  time
0         0.160782    0.905756    0.832814        42:50                                                                                                      
1         0.557790    1.105645    0.846257        41:58                                                                                                      
2         0.123758    0.834007    0.842308        52:53                                                                                                      
3         0.092739    0.968057    0.848719        51:44                                                                                                      
4         0.075204    1.027120    0.849856        51:59                                                                                                      
5         0.042930    1.226449    0.850356        40:49                                                                                                      
6         0.028575    1.212160    0.856149        40:06                                                                                                      
7         0.049333    1.156800    0.851774        40:06                                                                                                      
8         0.024507    1.155552    0.854153        40:02                                                                                                      
9         0.015422    1.190612    0.855238        39:57                                                                                                       
Saving model
