epoch     train_loss  valid_loss  valid_accuracy  time
0         0.360190    0.089514    0.982772        39:51                                                                                                      
1         0.363556    0.179398    0.979356        39:41                                                                                                      
2         0.293769    0.098108    0.984120        39:39                                                                                                      
3         0.172406    0.140479    0.979685        39:35                                                                                                      
4         0.138935    0.132292    0.982941        39:25                                                                                                      
5         0.095930    0.102342    0.986645        39:37                                                                                                      
6         0.083952    0.125801    0.984318        39:54                                                                                                      
7         0.074159    0.129789    0.987454        39:36                                                                                                      
8         0.050480    0.143144    0.988289        39:28                                                                                                      
9         0.041596    0.139266    0.988213        39:38                                                                                                       
Saving model
