epoch     train_loss  valid_loss  valid_accuracy  time
0         0.216345    0.474955    0.903166        39:51                                                                                                      
1         0.224783    0.449284    0.908108        39:41                                                                                                      
2         0.131192    0.657393    0.903767        39:42                                                                                                      
3         0.131404    0.482378    0.886094        39:41                                                                                                      
4         0.074306    0.565806    0.920376        39:41                                                                                                      
5         0.116968    0.531017    0.923856        39:35                                                                                                      
6         0.043810    0.687579    0.914093        39:41                                                                                                      
7         0.044963    0.615327    0.930881        39:39                                                                                                      
8         0.034870    0.641475    0.928670        39:42                                                                                                      
9         0.030429    0.687336    0.929076        39:39                                                                                                       
Saving model
