epoch     train_loss  valid_loss  valid_accuracy  time
0         0.178937    0.916824    0.841161        47:45                                                                                                      
1         0.376841    1.014177    0.823323        46:11                                                                                                      
2         0.152065    0.918655    0.845281        45:48                                                                                                      
3         0.128183    1.041136    0.849196        45:37                                                                                                      
4         0.072375    1.111704    0.857102        45:40                                                                                                      
5         0.050395    1.349204    0.841922        45:48                                                                                                      
6         0.040034    1.288089    0.853575        45:45                                                                                                      
7         0.041055    1.212044    0.858644        45:54                                                                                                      
8         0.064479    1.424294    0.852133        45:39                                                                                                      
9         0.053339    1.382827    0.851646        45:41                                                                                                       
Saving model
