epoch     train_loss  valid_loss  valid_accuracy  time
0         0.560989    0.256975    0.908793        43:04                                                                                                      
1         0.389099    0.262116    0.921649        44:41                                                                                                      
2         0.286237    0.131045    0.967605        44:24                                                                                                      
3         0.162785    0.132944    0.972841        44:32                                                                                                      
4         0.210770    0.115511    0.978866        44:33                                                                                                      
5         0.101196    0.103210    0.985961        44:45                                                                                                      
6         0.069038    0.147788    0.980079        44:25                                                                                                      
7         0.071790    0.135266    0.980638        44:26                                                                                                      
8         0.091153    0.128500    0.987188        44:21                                                                                                      
9         0.053033    0.136028    0.986093        44:14                                                                                                       
Saving model
