epoch     train_loss  valid_loss  valid_accuracy  time
0         0.278748    0.439929    0.880331        43:10                                                                                                      
1         0.285333    0.687906    0.866690        45:49                                                                                                      
2         0.209184    0.476286    0.888705        45:15                                                                                                      
3         0.134716    0.521895    0.911537        45:09                                                                                                      
4         0.162870    0.429840    0.899998        44:22                                                                                                      
5         0.054422    0.665663    0.906845        45:29                                                                                                      
6         0.048505    0.561776    0.922792        45:06                                                                                                      
7         0.024229    0.597772    0.921969        45:10                                                                                                      
8         0.024538    0.610238    0.924091        45:03                                                                                                      
9         0.021291    0.642631    0.922846        45:23                                                                                                       
Saving model
